component,gene_index,loading,abs_loading,novelty_weight,gene
6,413,0.07962987702284509,0.07962987702284509,0.31465732866433216,CTSD
6,68,-0.07430669362923609,0.07430669362923609,0.8829414707353677,APMAP
6,548,0.06831713301379924,0.06831713301379924,0.7323661830915458,EIF4E
6,170,-0.06663921517926921,0.06663921517926921,0.8309154577288644,BPTF
6,849,0.06651057565817921,0.06651057565817921,0.8014007003501751,IGKC
6,907,-0.0600079507509964,0.0600079507509964,0.8669334667333667,KPNA2
6,694,-0.05980318567749753,0.05980318567749753,0.5942971485742872,GOLPH3
6,845,0.05974579672523141,0.05974579672523141,0.9484742371185593,IGHG2
6,544,-0.058648714663814945,0.058648714663814945,0.6903451725862931,EIF4A1
6,1574,0.05773672901149399,0.05773672901149399,0.9299649824912456,SLC16A3
6,433,0.05658169519024938,0.05658169519024938,0.6563281640820411,CYBA
6,1317,-0.056355959416550375,0.056355959416550375,0.9229614807403702,PPP2R5C
6,561,0.055235030212781186,0.055235030212781186,0.7913956978489245,EMC10
6,175,0.05280107512285702,0.05280107512285702,0.23611805902951477,BSG
6,165,-0.05099909369955778,0.05099909369955778,0.7798899449724862,BLOC1S1
6,1637,0.05041023163378173,0.05041023163378173,0.45672836418209106,SPP1
6,1871,0.049352260439510194,0.049352260439510194,0.9694847423711856,TYROBP
6,1354,0.049108676453699034,0.049108676453699034,0.7348674337168584,PSMB4
6,978,-0.047511643155119396,0.047511643155119396,0.9604802401200601,LYZ
6,969,0.046494381652964885,0.046494381652964885,0.45972986493246626,LUC7L3
6,1088,-0.04442230792555971,0.04442230792555971,0.8159079539769885,NCOR1
6,401,0.044281524461258215,0.044281524461258215,0.9289644822411206,CSK
6,1907,0.04414969176319317,0.04414969176319317,0.5337668834417209,UQCRC1
6,255,-0.04395681803213945,0.04395681803213945,0.3686843421710856,CD164
6,108,0.04372583523978796,0.04372583523978796,0.8584292146073036,ARPC4
6,1760,0.041828599617207675,0.041828599617207675,0.5432716358179089,TM9SF2
6,194,-0.0404203360663971,0.0404203360663971,0.9704852426213106,C1QC
6,1702,0.040027141165570226,0.040027141165570226,0.888944472236118,SZRD1
6,1663,0.03997106539471077,0.03997106539471077,0.5227613806903452,SRSF9
6,1207,0.039583184216513995,0.039583184216513995,0.7093546773386694,PCMT1
6,48,-0.039157932199531585,0.039157932199531585,0.7603801900950475,ANKRD11
6,1653,-0.03876630073886787,0.03876630073886787,0.47523761880940474,SRRM2
6,576,0.038428552673419054,0.038428552673419054,0.6078039019509756,EPN1
6,1898,0.037609629970793146,0.037609629970793146,0.4987493746873437,UCP2
