gene,fold_change,pvalue_adjusted,negative_log10_qvalue,significant,direction
IGFBP4,2.0883319856810495e-05,0.9999999974159123,1.1222550396861084e-09,False,other
FKBP10,3.642132691750481e-05,0.9999999974159123,1.1222550396861084e-09,False,other
TXNL4A,8.573293070583687e-05,0.9999999974159123,1.1222550396861084e-09,False,other
PFKL,-4.240962919026259e-05,0.9999999974159123,1.1222550396861084e-09,False,other
VAV1,-0.00045738640833371813,0.9999999974159123,1.1222550396861084e-09,False,other
IFITM3,0.00034337062132730467,0.9999999974159123,1.1222550396861084e-09,False,other
COL6A1,0.0005587408973581343,0.9999999974159123,1.1222550396861084e-09,False,other
COL6A2,-0.0004611454974337015,0.9999999974159123,1.1222550396861084e-09,False,other
APP,-0.00020274698134267743,0.9999999974159123,1.1222550396861084e-09,False,other
SAE1,0.00012205530240337083,0.9999999974159123,1.1222550396861084e-09,False,other
PSMB6,-0.00031325276361684334,0.9999999974159123,1.1222550396861084e-09,False,other
SIGLEC10,6.760647539811107e-05,0.9999999974159123,1.1222550396861084e-09,False,other
NOSIP,-0.0001929968169461331,0.9999999974159123,1.1222550396861084e-09,False,other
SLC2A5,-4.0763725409384555e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SYTL1,-0.00022490764848408923,0.9999999974159123,1.1222550396861084e-09,False,other
HSPG2,-7.63974402492977e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CYR61,0.00852632927514202,0.03263367012884118,1.4863340807609842,True,other
TINAGL1,0.00023260362849998172,0.9999999974159123,1.1222550396861084e-09,False,other
KIF2C,0.00043416914458184117,0.9999999974159123,1.1222550396861084e-09,False,other
PSMA5,-5.356484517044652e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CREG1,-2.968192222235766e-05,0.9999999974159123,1.1222550396861084e-09,False,other
XCL1,-5.6145420854029644e-08,0.9999999974159123,1.1222550396861084e-09,False,other
XCL2,2.231871010996417e-05,0.9999999974159123,1.1222550396861084e-09,False,other
DPT,0.0005511761225481995,0.9999999974159123,1.1222550396861084e-09,False,other
NUF2,0.001269742137397254,0.07303920449396498,1.1364439655636087,False,other
RGS5,-0.00014973268083528363,0.9999999974159123,1.1222550396861084e-09,False,other
FCRL5,-0.0030286799149676913,0.7675859251654812,0.11487299730160895,False,other
CRABP2,7.711115673079342e-05,0.9999999974159123,1.1222550396861084e-09,False,other
RGS16,-0.00018966059958204842,0.9999999974159123,1.1222550396861084e-09,False,other
RGL1,0.0001301405852544811,0.9999999974159123,1.1222550396861084e-09,False,other
LYPLAL1,-0.00032479566705759244,0.9999999974159123,1.1222550396861084e-09,False,other
ECM1,0.0010282777350828186,3.1876189285160186e-06,5.4965336029392535,True,other
RFX5,-0.0005904564934805442,0.9999999974159123,1.1222550396861084e-09,False,other
ANP32E,0.0004994362205539768,0.9999999974159123,1.1222550396861084e-09,False,other
SELENBP1,0.00019366849221079917,0.9999999974159123,1.1222550396861084e-09,False,other
ENSA,7.55904652458006e-06,0.9999999974159123,1.1222550396861084e-09,False,other
ADAM15,1.4530486481083293e-06,0.9999999974159123,1.1222550396861084e-09,False,other
RAB13,0.0025300292352096465,0.03552628210665966,1.4494502398804363,True,other
S100A8,0.0011180715008692194,0.26533768698132554,0.576201061040584,False,other
ILF2,-0.000713805993071942,0.9999999974159123,1.1222550396861084e-09,False,other
SRP9,0.0009124106521597314,0.9999999974159123,1.1222550396861084e-09,False,other
ITPKB,-0.0005838383418300674,0.9999999974159123,1.1222550396861084e-09,False,other
PARP1,-0.0011931121465512257,0.9999999974159123,1.1222550396861084e-09,False,other
LBR,-0.0002830471775920537,0.9999999974159123,1.1222550396861084e-09,False,other
EPHX1,-0.00011105340721216488,0.9999999974159123,1.1222550396861084e-09,False,other
PTPN7,-0.00015589432361108255,0.9999999974159123,1.1222550396861084e-09,False,other
EML4,-5.497139737870027e-05,0.9999999974159123,1.1222550396861084e-09,False,other
MALL,0.0002989579182919762,0.9999999974159123,1.1222550396861084e-09,False,other
FBLN7,-0.00017565144918504395,0.9999999974159123,1.1222550396861084e-09,False,other
AFF3,0.0006108800024579031,0.9999999974159123,1.1222550396861084e-09,False,other
CDCA7,0.0008632387818958212,0.9999999974159123,1.1222550396861084e-09,False,other
ACKR3,6.432380643540438e-05,0.9999999974159123,1.1222550396861084e-09,False,other
GRIP2,-9.723480595127607e-06,0.9999999974159123,1.1222550396861084e-09,False,other
CNTN4,-0.00013216718383474916,0.9999999974159123,1.1222550396861084e-09,False,other
OSBPL10,0.00028095268492989156,0.9999999974159123,1.1222550396861084e-09,False,other
FAM198A,2.7073391848133656e-05,0.9999999974159123,1.1222550396861084e-09,False,other
PLA1A,6.72080453689352e-05,0.9999999974159123,1.1222550396861084e-09,False,other
BOC,0.0001008246438179072,0.9999999974159123,1.1222550396861084e-09,False,other
LPP,0.0014507934916599269,0.8076143980382025,0.09279594711720154,False,other
EAF2,-0.0005025502963161566,0.9999999974159123,1.1222550396861084e-09,False,other
SLIT2,-0.0003386419131391708,0.9999999974159123,1.1222550396861084e-09,False,other
ATP10D,-4.430856542254544e-05,0.9999999974159123,1.1222550396861084e-09,False,other
PLAC8,0.0005905891689706455,0.9999999974159123,1.1222550396861084e-09,False,other
ANK2,-0.0013629347305647577,0.1604313476868297,0.7947107682385818,False,other
CCNA2,0.00041196223241870764,0.9999999974159123,1.1222550396861084e-09,False,other
MARCH1,0.00048819276576009957,0.9999999974159123,1.1222550396861084e-09,False,other
SFRP2,1.7978161095352427e-05,0.9999999974159123,1.1222550396861084e-09,False,other
NDUFS6,4.306503031348274e-06,0.9999999974159123,1.1222550396861084e-09,False,other
MARCH6,-0.00038619454748595183,0.9999999974159123,1.1222550396861084e-09,False,other
NKD2,-0.00016489120941961914,0.9999999974159123,1.1222550396861084e-09,False,other
OSMR,-5.616979449345194e-05,0.9999999974159123,1.1222550396861084e-09,False,other
PLK2,4.749195469149446e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SSBP2,-8.901461419315998e-05,0.9999999974159123,1.1222550396861084e-09,False,other
TNFAIP8,8.377526052883583e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CXCL14,0.014959678916486974,2.1103401223193986e-12,11.675647544066091,True,other
TIMD4,0.00017565124956235535,0.9999999974159123,1.1222550396861084e-09,False,other
C1QTNF2,-3.7131506365714368e-06,0.9999999974159123,1.1222550396861084e-09,False,other
TNIP1,0.00019724919017234666,0.9999999974159123,1.1222550396861084e-09,False,other
G3BP1,0.0004808505219028175,0.9999999974159123,1.1222550396861084e-09,False,other
N4BP3,-3.802027164976664e-05,0.9999999974159123,1.1222550396861084e-09,False,other
NHP2,0.00027398596395397656,0.9999999974159123,1.1222550396861084e-09,False,other
HIGD2A,0.00048254904846195545,0.9999999974159123,1.1222550396861084e-09,False,other
PLA2G7,2.0577118780252916e-05,0.9999999974159123,1.1222550396861084e-09,False,other
TNFRSF21,-0.0002632023344946201,0.9999999974159123,1.1222550396861084e-09,False,other
RNF44,0.000872213664387278,0.9999999974159123,1.1222550396861084e-09,False,other
DOK3,-0.000664962616558816,0.9999999974159123,1.1222550396861084e-09,False,other
PPP1R18,0.0006955599830488074,0.9999999974159123,1.1222550396861084e-09,False,other
FGD2,-0.00012444928258381616,0.9999999974159123,1.1222550396861084e-09,False,other
CRIP3,-7.124087861649225e-05,0.9999999974159123,1.1222550396861084e-09,False,other
ABRACL,-4.2581580592213064e-05,0.9999999974159123,1.1222550396861084e-09,False,other
WTAP,0.00025772034667290167,0.9999999974159123,1.1222550396861084e-09,False,other
EGFR,2.9930806948061384e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CDCA5,0.000831972793991536,0.9999999974159123,1.1222550396861084e-09,False,other
IGFBP3,0.008844735472055443,2.88306107522051e-09,8.540146157351543,True,other
MDH2,-0.00010417525227555263,0.9999999974159123,1.1222550396861084e-09,False,other
CCT6A,4.7785076137785154e-05,0.9999999974159123,1.1222550396861084e-09,False,other
NCAPG2,-6.268674583934531e-05,0.9999999974159123,1.1222550396861084e-09,False,other
LUC7L2,-0.00034102131136612424,0.9999999974159123,1.1222550396861084e-09,False,other
SH3KBP1,-0.00036332378298749995,0.9999999974159123,1.1222550396861084e-09,False,other
CXorf36,-0.00010941318547686308,0.9999999974159123,1.1222550396861084e-09,False,other
NDUFB11,5.298639754974105e-05,0.9999999974159123,1.1222550396861084e-09,False,other
GPR174,0.0002711376320242258,0.9999999974159123,1.1222550396861084e-09,False,other
GPC3,-4.894886375865471e-06,0.9999999974159123,1.1222550396861084e-09,False,other
CHMP7,-7.06379370552998e-05,0.9999999974159123,1.1222550396861084e-09,False,other
PLPP5,4.632819595293963e-05,0.9999999974159123,1.1222550396861084e-09,False,other
MTDH,-0.00017040636851629876,0.9999999974159123,1.1222550396861084e-09,False,other
MAL2,0.0012230381955288284,1.488893436946367e-14,13.827136384452185,True,other
NDUFB9,0.0004914787314302949,0.9999999974159123,1.1222550396861084e-09,False,other
UHRF2,0.00030279331638972257,0.9999999974159123,1.1222550396861084e-09,False,other
NFIB,0.0021085858818842423,0.14574279022625516,0.836412920221778,False,other
ZCCHC7,-0.0005900298343536614,0.9999999974159123,1.1222550396861084e-09,False,other
NTRK2,-7.157983954039949e-06,0.9999999974159123,1.1222550396861084e-09,False,other
UGCG,-9.066745410191146e-05,0.9999999974159123,1.1222550396861084e-09,False,other
GSN,-4.725799036933709e-05,0.9999999974159123,1.1222550396861084e-09,False,other
