group,sample,method,composition_recovery,all_spots,predicted_blank_spots,correct_abstention_spots,incorrect_abstention_spots,truth_unsupported_spots,raw_composition_overlap,abstention_credit,abstention_truth_rule,method_key,prediction_path,reused_mapping,provenance_verified
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,"Tangram
(all genes)",0.4753859424909863,8470,0,0,0,0,0.4753859424909863,0.0,not_applicable,tangram_all,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,"Tangram
(marker genes)",0.4979858446865673,8470,0,0,0,0,0.4979858446865673,0.0,not_applicable,tangram_marker,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,novoSpaRc,0.5766069581921829,8470,0,0,0,0,0.5766069581921829,0.0,not_applicable,novosparc,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,SpaOTsc,0.5388883348138458,8470,0,0,0,0,0.5388883348138458,0.0,not_applicable,spaotsc,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,CellTrek,0.5250426031230158,8470,0,0,0,0,0.5250426031230158,0.0,not_applicable,celltrek,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,CytoSPACE,0.4246473657108847,8470,0,0,0,0,0.4246473657108847,0.0,not_applicable,cytospace_baseline,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,SVTuner,0.7722763206902512,8470,3043,2851,192,2853,0.43567655681776013,0.33659976387249113,target_dominant,cytospace_route2,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,"Tangram
(all genes)",0.33658723691741355,8470,0,0,0,0,0.33658723691741355,0.0,not_applicable,tangram_all,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,"Tangram
(marker genes)",0.3543833120089285,8470,0,0,0,0,0.3543833120089285,0.0,not_applicable,tangram_marker,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,novoSpaRc,0.42698726080709554,8470,0,0,0,0,0.42698726080709554,0.0,not_applicable,novosparc,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,SpaOTsc,0.4488672892868235,8470,0,0,0,0,0.4488672892868235,0.0,not_applicable,spaotsc,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05,CellTrek,0.3052182298712828,8470,0,0,0,0,0.3052182298712828,0.0,not_applicable,celltrek,V:\result\mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
