rank,gene,stat,hit,running_es
38,MCM6,0.144456992288543,False,0.41088883144250904
39,APC,0.14445699228854297,False,0.40883544335216
40,RGMB,0.14445699228854297,False,0.40678205526181094
41,HAVCR2,0.1339519140629346,True,0.42920941401562657
42,CDKN1A,0.13138053444982573,False,0.4271560259252775
43,STING1,0.13138053444982567,False,0.42510263783492847
44,LMNA,0.12602676010180827,True,0.4462031004983911
45,PDK1,0.12602676010180824,False,0.4441497124080421
46,CLCA1,0.12602676010180824,False,0.442096324317693
47,TGFBR3,0.12602676010180824,False,0.440042936227344
48,RB1,0.11830407661110834,False,0.4379895481369949
49,NFE2L2,0.11773941661117393,False,0.43593616004664587
50,COL4A1,0.11434901402067066,False,0.4338827719562968
51,HDAC3,0.11295030226309097,False,0.43182938386594777
52,CCNB1,0.11295030226309094,False,0.4297759957755987
53,PLVAP,0.11295030226309094,False,0.42772260768524967
54,IFNAR1,0.11295030226309094,False,0.4256692195949006
55,CD80,0.11295030226309094,False,0.42361583150455157
56,PCNA,0.11295030226309094,False,0.4215624434142025
57,CHEK2,0.11295030226309093,False,0.41950905532385346
58,AURKA,0.11295030226309093,False,0.4174556672335044
59,SMAD2,0.11295030226309093,False,0.41540227914315536
60,Blank-31,0.11295030226309093,False,0.4133488910528063
61,RELA,0.10759652791507349,False,0.41129550296245726
62,TAP1,0.10759652791507346,False,0.4092421148721082
63,NFKB2,0.10688069350743079,False,0.40718872678175916
64,MYC,0.10688069350743079,False,0.4051353386914101
65,TAPBP,0.10466295877245663,False,0.40308195060106106
66,PPARD,0.10172938962983963,False,0.401028562510712
67,LYZ,0.10081108475177059,False,0.39897517442036295
68,MSH6,0.09987384442437362,False,0.3969217863300139
69,CDCA7,0.09987384442437362,False,0.39486839823966485
70,FOXP3,0.09987384442437361,False,0.3928150101493158
71,ACTA2,0.09765610968939936,False,0.39076162205896675
72,EPCAM,0.09452007007635618,False,0.3887082339686177
73,TSC1,0.09452007007635617,False,0.38665484587826865
74,DUSP6,0.09452007007635617,False,0.3846014577879196
75,Blank-27,0.09452007007635617,False,0.38254806969757055
76,Blank-10,0.09452007007635617,False,0.3804946816072215
77,KIR2DL4,0.09452007007635617,False,0.37844129351687245
78,NCR1,0.09452007007635617,False,0.3763879054265234
79,MLH1,0.09452007007635616,False,0.37433451733617434
80,CSF2RA,0.0915865009337393,False,0.3722811292458253
81,MAP2K1,0.08973095572827318,False,0.37022774115547624
82,JUN,0.088450461320696,True,0.3850368630844674
83,HLA-C,0.0867973865856563,True,0.3995692133048274
84,INSR,0.0867973865856563,False,0.39751582521447837
85,CYBB,0.08630551210240256,False,0.3954624371241293
86,PROX1,0.0814436122376389,False,0.39340904903378027
87,DIABLO,0.0814436122376389,False,0.3913556609434312
88,AURKB,0.08144361223763888,False,0.38930227285308217
89,VWF,0.08144361223763887,False,0.3872488847627331
90,RORC,0.08144361223763887,False,0.38519549667238406
91,MSH3,0.08144361223763885,False,0.383142108582035
92,YAP1,0.0814436122376388,False,0.38108872049168596
93,CCND1,0.0814436122376388,False,0.3790353324013369
94,NRP1,0.07608983788962143,True,0.3917749345474358
