HSP90AB1	HSP90AB1
HSP90B1	HSP90B1
HSPA1A	HSPA1A
HSPA1B	HSPA1B
HSPA4	HSPA4
HSPA5	HSPA5
HSPA6	HSPA6
HSPA8	HSPA8
HSPA9	HSPA9
HSPB1	HSPB1
HSPB11	HSPB11
HSPD1	HSPD1
HSPE1	HSPE1
HSPG2	HSPG2
HSPH1	HSPH1
HTRA1	HTRA1
IAH1	IAH1
ICAM1	ICAM1
ICAM2	ICAM2
ICAM3	ICAM3
ICOS	ICOS
ID1	ID1
ID2	ID2
ID3	ID3
IDH2	IDH2
IDI1	IDI1
IDS	IDS
IER2	IER2
IER3	IER3
IER5	IER5
IFI16	IFI16
IFI27	IFI27
IFI27L2	IFI27L2
IFI44L	IFI44L
IFI6	IFI6
IFITM1	IFITM1
IFITM2	IFITM2
IFITM3	IFITM3
IFNG	IFNG
IFNGR1	IFNGR1
IFNGR2	IFNGR2
IFRD1	IFRD1
IFT57	IFT57
IGBP1	IGBP1
IGFBP3	IGFBP3
IGFBP4	IGFBP4
IGFBP5	IGFBP5
IGFBP7	IGFBP7
IGHA1	IGHA1
IGHG1	IGHG1
IGHG2	IGHG2
IGHG3	IGHG3
IGHG4	IGHG4
IGHM	IGHM
IGKC	IGKC
IGKV4-1	IGKV4-1
IK	IK
IL10RA	IL10RA
IL27RA	IL27RA
IL2RB	IL2RB
IL2RG	IL2RG
IL32	IL32
IL6ST	IL6ST
IL7R	IL7R
ILF2	ILF2
ILF3	ILF3
ILK	ILK
IMP3	IMP3
IMP4	IMP4
IMPDH2	IMPDH2
INSIG1	INSIG1
INTS6	INTS6
IP6K2	IP6K2
IQGAP1	IQGAP1
IRF1	IRF1
IRF7	IRF7
IRF8	IRF8
ISCA1	ISCA1
ISCU	ISCU
ISG15	ISG15
ISG20	ISG20
ISLR	ISLR
ITGA4	ITGA4
ITGAE	ITGAE
ITGB1	ITGB1
ITGB1BP1	ITGB1BP1
ITGB2	ITGB2
ITM2A	ITM2A
ITM2B	ITM2B
ITM2C	ITM2C
ITSN2	ITSN2
IVNS1ABP	IVNS1ABP
JAG1	JAG1
JAK1	JAK1
JCHAIN	JCHAIN
JMJD1C	JMJD1C
JMJD6	JMJD6
JTB	JTB
JUN	JUN
JUNB	JUNB
KDELR1	KDELR1
KDELR2	KDELR2
KDM6B	KDM6B
KHDRBS1	KHDRBS1
KIF5B	KIF5B
KLF10	KLF10
KLF4	KLF4
KLF6	KLF6
KLF9	KLF9
KLRB1	KLRB1
KLRD1	KLRD1
KMT2E	KMT2E
KPNA2	KPNA2
KPNB1	KPNB1
KRAS	KRAS
KRT10	KRT10
KRT18	KRT18
KRT7	KRT7
KRT8	KRT8
KRTCAP2	KRTCAP2
KTN1	KTN1
KXD1	KXD1
LAGE3	LAGE3
LAMA4	LAMA4
LAMP1	LAMP1
LAMP2	LAMP2
LAMTOR1	LAMTOR1
LAMTOR2	LAMTOR2
LAMTOR3	LAMTOR3
LAMTOR4	LAMTOR4
LAP3	LAP3
LAPTM4A	LAPTM4A
LAPTM5	LAPTM5
LAT	LAT
LBH	LBH
LCK	LCK
LCP1	LCP1
LCP2	LCP2
LDLRAD4	LDLRAD4
LEPROT	LEPROT
LEPROTL1	LEPROTL1
LGALS1	LGALS1
LGALS3	LGALS3
LGALS3BP	LGALS3BP
LGMN	LGMN
LIMD2	LIMD2
LIMS1	LIMS1
LITAF	LITAF
LMAN1	LMAN1
LMAN2	LMAN2
LMBRD1	LMBRD1
LMCD1	LMCD1
LMNA	LMNA
LMO4	LMO4
LPP	LPP
LPXN	LPXN
LRP10	LRP10
LRPAP1	LRPAP1
LRRC59	LRRC59
LRRFIP1	LRRFIP1
LRRFIP2	LRRFIP2
LSM1	LSM1
LSM10	LSM10
LSM14A	LSM14A
LSM2	LSM2
LSM3	LSM3
LSM4	LSM4
LSM5	LSM5
LSM6	LSM6
LSM7	LSM7
LSM8	LSM8
LSP1	LSP1
LTB	LTB
LUC7L2	LUC7L2
LUC7L3	LUC7L3
LUM	LUM
LY6E	LY6E
LY9	LY9
LY96	LY96
LYAR	LYAR
LYN	LYN
LYSMD2	LYSMD2
LYST	LYST
LYZ	LYZ
M6PR	M6PR
MACF1	MACF1
MAF1	MAF1
MAFB	MAFB
MAGED2	MAGED2
MANF	MANF
MAP1LC3A	MAP1LC3A
MAP2K3	MAP2K3
MAP3K2	MAP3K2
MAP3K8	MAP3K8
MAP4	MAP4
MAPK1IP1L	MAPK1IP1L
MAPRE1	MAPRE1
MAPRE2	MAPRE2
MARCKS	MARCKS
MARCKSL1	MARCKSL1
MAT2A	MAT2A
MAT2B	MAT2B
MAX	MAX
MBNL1	MBNL1
MBNL2	MBNL2
MBP	MBP
MCAM	MCAM
MCL1	MCL1
MDH1	MDH1
MDH2	MDH2
MDK	MDK
MEA1	MEA1
MEAF6	MEAF6
MED10	MED10
MED21	MED21
MED28	MED28
MED30	MED30
MED4	MED4
MEF2C	MEF2C
METTL9	METTL9
MFAP2	MFAP2
MFF	MFF
MFGE8	MFGE8
MFSD1	MFSD1
MFSD10	MFSD10
MGAT1	MGAT1
MGAT4A	MGAT4A
MGMT	MGMT
MGP	MGP
MGST1	MGST1
MGST2	MGST2
MGST3	MGST3
MIDN	MIDN
MIEN1	MIEN1
MIER1	MIER1
MIF	MIF
MIS18BP1	MIS18BP1
MKNK2	MKNK2
MKRN1	MKRN1
MLEC	MLEC
MLF2	MLF2
