gene,hvg_score,svg_score,hvg_norm,svg_norm,final_weight,is_sc_hvg,selected_in_plugin
FUNDC2,0.2528477063367354,-0.00775247207872442,0.9006758387641806,0.01979242095100169,0.4602341298575911,False,0
MTCP1,0.005507961047214538,0.004189361037248812,0.2743181269611393,0.38154718802799903,0.3279326574945691,False,0
CMC4,0.007582445834921405,0.005983017057207238,0.3007482500603427,0.39753801593048516,0.34914313299541394,False,0
VBP1,0.1919038122825866,0.06995167603767027,0.855660149650012,0.8096789765870143,0.8326695631185131,False,0
RAB39B,0.0335378643996288,0.0,0.48050929278300747,0.2035662563359884,0.3420377745594979,False,0
CLIC2,0.0871939983527531,0.04654217356405149,0.6830195510499638,0.7212768525223268,0.7021482017861453,False,0
TMLHE,0.03379139023379177,0.050274313814498164,0.48201786145305336,0.7398624185372918,0.6109401399951726,False,0
SPRY3,0.0028930548046451504,0.0016363817887070082,0.23014723630219647,0.362599565532223,0.29637340091720976,False,0
VAMP7,0.10717146774473231,0.06339309793768724,0.7314747767318368,0.7880159304851557,0.7597453536084963,False,0
ZNF596,0.011111711644944792,0.0,0.3367728699010379,0.2035662563359884,0.27016956311851315,False,0
FBXO25,0.079521766167324,0.0633758365895086,0.658158339367608,0.7879555877383538,0.7230569635529809,False,0
TDRP,0.02661088316768909,0.10121647839195137,0.44225199131064447,0.8750905141202028,0.6586712527154236,False,0
ERICH1,0.19601958684820336,0.049046432094400065,0.8587376297369056,0.7334057446294955,0.7960716871832005,False,0
CLN8,0.08651792265822797,0.0821231164829391,0.6807265266714941,0.84111754767077,0.760922037171132,False,0
ARHGEF10,0.03184796702352566,0.03416229625924868,0.47061308230750665,0.6447622495776008,0.5576876659425537,False,0
KBTBD11,0.0039897571708282994,0.0,0.25084479845522567,0.2035662563359884,0.22720552739560704,False,0
MYOM2,0.37700635814068373,0.0,0.9487690079652426,0.2035662563359884,0.5761676321506155,False,0
CSMD1,0.0013064101541869746,0.0,0.18712285783248853,0.2035662563359884,0.19534455708423848,False,0
MCPH1,0.08256254464818201,0.023786578577364072,0.667632150615496,0.5625754284335023,0.6151037895244991,False,0
ANGPT2,0.16576099533530575,0.06098056652614782,0.8283248853487811,0.7795679459328989,0.80394641564084,True,0
AGPAT5,0.11987191726777473,0.04806234840644802,0.7588100410330678,0.7283972966449432,0.7436036688390055,False,0
DEFB1,0.007243742775730082,0.2911298755328614,0.2973087134926382,0.9765870142408882,0.6369478638667632,True,0
DEFA4,4.26689950575168e-05,0.0,0.0985397055273956,0.2035662563359884,0.151052980931692,False,0
ZNF705G,0.0,0.0,0.042360608254887765,0.2035662563359884,0.12296343229543809,False,0
CLDN23,0.012390601314202531,0.053831144507457275,0.34823799179338644,0.7534395365677046,0.5508387641805454,False,0
MFHAS1,0.05990193092957897,0.03305227578106689,0.594013999517258,0.6375814627081825,0.6157977311127203,False,0
ERI1,0.05444442522754106,0.02348838410276538,0.5739198648322472,0.5595582910934106,0.566739077962829,False,0
PPP1R3B,0.04570862295468032,0.015844063535356775,0.5374728457639392,0.4876900796524258,0.5125814627081825,False,0
TNKS,0.08376225064663351,0.003387097244817995,0.6716147719044171,0.37496982862659906,0.5232923002655081,False,0
MSRA,0.09095902165905169,0.04538728625413191,0.6935795317402849,0.7156649770697562,0.7046222544050205,False,0
PRSS51,0.0,0.0,0.042360608254887765,0.2035662563359884,0.12296343229543809,False,0
RP1L1,0.001128959019609588,0.0,0.1795196717354574,0.2035662563359884,0.1915429640357229,False,0
SOX7,0.04841154510224283,0.0011035581663211668,0.5501448225923244,0.3588583152305093,0.4545015689114169,True,0
PINX1,0.031062128910335905,0.019431969354946416,0.46572531981655807,0.5218440743422641,0.4937846970794111,False,0
XKR6,0.00941454534821232,0.0,0.32126478397296643,0.2035662563359884,0.26241552015447744,False,0
MTMR9,0.08509861246644908,0.01210384856157967,0.6757784214337437,0.45172580255853245,0.5637521119961381,False,0
SLC35G5,0.00387572891888104,0.0,0.24867245957035963,0.2035662563359884,0.226119357953174,False,0
FAM167A,0.004637725084191981,0.0,0.2623099203475742,0.2035662563359884,0.2329380883417813,False,0
BLK,0.04946533932340466,0.2112156676308051,0.5543688148684528,0.9572169925174994,0.755792903692976,False,0
NEIL2,0.03675723600814117,0.002976025755936263,0.4982500603427468,0.3718320057929037,0.43504103306782527,False,0
FDFT1,0.2316909698787878,0.07081114993715945,0.8880038619357953,0.8118513154718803,0.8499275887038378,False,0
CTSB,0.8734169988764816,0.6129895673989887,0.9955949794834661,0.998189717595945,0.9968923485397055,True,1
LONRF1,0.02887647770374837,0.013020873121838087,0.45341539946898385,0.45963070238957277,0.4565230509292783,False,0
DLC1,0.144056586561725,0.07513985631644957,0.8015327057687666,0.8235578083514361,0.8125452570601013,True,0
C8orf48,0.0012060522529165907,0.0,0.18295920830316195,0.2035662563359884,0.1932627323195752,False,0
SGCZ,0.000680146896382748,0.0,0.15924450881004104,0.2035662563359884,0.18140538257301472,False,0
TUSC3,0.07953182904988086,0.05990111182626702,0.6582790248612117,0.775162925416365,0.7167209751387884,False,0
MSR1,0.14472180229226234,0.22981565551621663,0.8027999034516051,0.9624668114892589,0.882633357470432,True,0
FGF20,0.0,0.0,0.042360608254887765,0.2035662563359884,0.12296343229543809,False,0
