scene,scene_index,group,marker_percentile
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9053465962076469
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8975753807895555
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9953372707491451
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9634752875349705
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9714019272614237
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8797015853279453
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9128069630090146
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8599626981659931
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9853901150139882
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.916070873484613
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9154491762511657
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8933789244637861
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8828100714951819
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9118744171588437
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8941560460055953
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9746658377370221
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8991296238731737
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9460677649984458
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9544606776499844
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8579421821572893
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9428038545228474
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9769972023624495
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8994404724898974
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9210444513521915
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9549269505750699
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9221324215107243
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9968915138327634
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9811936586882188
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8705315511345975
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9937830276655268
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9981349082996581
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9738887161952129
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.963009014609885
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9072116879079888
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.860118122474355
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8890270438296549
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8779919179359652
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9474665837737022
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.883587193036991
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9875660553310538
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.851103512589369
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9710910786447
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8798570096363071
