rank,gene,stat,hit,running_es,CellType
8174,DSCR8,0.0018471642397344112,False,0.40098939613004775,CD4 T cells
8175,L3MBTL1,0.0018425323069095612,False,0.40091895375191305,CD4 T cells
8176,CATSPERD,0.0018348852172493935,False,0.40084851137377836,CD4 T cells
8177,TXNDC9,0.0018298327922821045,False,0.40077806899564367,CD4 T cells
8178,ALS2CR12,0.0018295180052518845,False,0.40070762661750897,CD4 T cells
8179,FAHD2A,0.0018265768885612488,False,0.4006371842393743,CD4 T cells
8180,TUBGCP3,0.0018258392810821533,False,0.4005667418612396,CD4 T cells
8181,REXO2,0.0018204450607299805,False,0.4004962994831049,CD4 T cells
8182,PIAS2,0.0018187612295150757,False,0.4004258571049702,CD4 T cells
8183,GLIS2,0.0018153046257793903,False,0.4003554147268355,CD4 T cells
8184,RNF217,0.001814726972952485,False,0.4002849723487008,CD4 T cells
8185,DEPDC4,0.001811770722270012,False,0.4002145299705661,CD4 T cells
8186,DMRT3,0.0018114190315827727,False,0.4001440875924314,CD4 T cells
8187,ARX,0.001809487584978342,False,0.4000736452142967,CD4 T cells
8188,HSPB8,0.0018093148246407509,False,0.40000320283616203,CD4 T cells
8189,PPM1N,0.0018090307712554932,False,0.39993276045802734,CD4 T cells
8190,CLDN4,0.0018059753347188234,False,0.39986231807989264,CD4 T cells
8191,CDC25A,0.0018039788119494915,False,0.39979187570175795,CD4 T cells
8192,RGS17,0.0018039252609014511,False,0.39972143332362325,CD4 T cells
8193,SRPX2,0.0018031465588137507,False,0.39965099094548856,CD4 T cells
8194,ABLIM3,0.001802720595151186,False,0.39958054856735387,CD4 T cells
8195,TBX2,0.0017970222979784012,False,0.39951010618921917,CD4 T cells
8196,SNX32,0.001794259063899517,False,0.3994396638110845,CD4 T cells
8197,SPRY1,0.0017808601260185242,False,0.3993692214329498,CD4 T cells
8198,GABBR2,0.001778696314431727,False,0.3992987790548151,CD4 T cells
8199,ADAM28,0.0017731860280036926,False,0.3992283366766804,CD4 T cells
8200,CATSPER3,0.0017727315425872803,False,0.3991578942985457,CD4 T cells
8201,SERPINA9,0.001772395451553166,False,0.399087451920411,CD4 T cells
8202,DGAT2,0.0017681033350527287,False,0.3990170095422763,CD4 T cells
8203,INPP4B,0.0017661452293395996,False,0.3989465671641416,CD4 T cells
8204,BCL3,0.0017644092440605164,False,0.3988761247860069,CD4 T cells
8205,CMTM8,0.001763245090842247,False,0.39880568240787223,CD4 T cells
8206,EFEMP1,0.0017619916470721364,False,0.39873524002973754,CD4 T cells
8207,NIP7,0.0017490983009338379,False,0.39866479765160284,CD4 T cells
8208,FSD2,0.00174673181027174,False,0.39859435527346815,CD4 T cells
8209,ZBED3,0.0017412537708878517,False,0.39852391289533345,CD4 T cells
8210,TMEM179,0.0017409190768375993,False,0.39845347051719876,CD4 T cells
8211,GRIN2D,0.0017401307122781873,False,0.39838302813906407,CD4 T cells
8212,TJP2,0.0017317067831754684,False,0.39831258576092937,CD4 T cells
8213,CACNA1F,0.0017292038537561893,False,0.3982421433827947,CD4 T cells
8214,HAS2,0.001726984977722168,False,0.39817170100466,CD4 T cells
8215,LAD1,0.0017257090657949448,False,0.3981012586265253,CD4 T cells
8216,CDH6,0.0017252862453460693,False,0.3980308162483906,CD4 T cells
8217,KLHL14,0.0017231912352144718,False,0.3979603738702559,CD4 T cells
8218,KCNA5,0.0017228221986442804,False,0.3978899314921212,CD4 T cells
8219,ESRRG,0.001722114160656929,False,0.3978194891139865,CD4 T cells
8220,ADSSL1,0.001721834298223257,False,0.3977490467358518,CD4 T cells
8221,TSPAN18,0.0017134398221969604,False,0.3976786043577171,CD4 T cells
8222,DOCK6,0.0017131175845861435,False,0.39760816197958243,CD4 T cells
8223,BAI3,0.0017107026651501656,False,0.39753771960144774,CD4 T cells
8224,RIPK1,0.0017091631889343262,False,0.39746727722331304,CD4 T cells
8225,PTPRO,0.0017041545361280441,False,0.39739683484517835,CD4 T cells
8226,MIOX,0.0016979111824184656,False,0.39732639246704365,CD4 T cells
8227,SCUBE2,0.001688479445874691,False,0.39725595008890896,CD4 T cells
8228,SLX1A-SULT1A3,0.0016851946711540222,False,0.39718550771077427,CD4 T cells
8229,TAS2R31,0.0016850996762514114,False,0.39711506533263957,CD4 T cells
8230,ITGA8,0.001680188113823533,False,0.3970446229545049,CD4 T cells
8231,ROR2,0.0016784942708909512,False,0.3969741805763702,CD4 T cells
8232,NYNRIN,0.0016784332692623138,False,0.3969037381982355,CD4 T cells
8233,LINC00494,0.00167767982929945,False,0.3968332958201008,CD4 T cells
8234,KIT,0.0016769999638199806,False,0.3967628534419661,CD4 T cells
8235,TMEM52,0.0016728120390325785,False,0.3966924110638314,CD4 T cells
8236,WDFY3-AS2,0.001672458602115512,False,0.3966219686856967,CD4 T cells
8237,BAMBI,0.0016716308891773224,False,0.396551526307562,CD4 T cells
8238,GUCY1B3,0.0016707172617316246,False,0.3964810839294273,CD4 T cells
8239,ZNF283,0.0016670525074005127,False,0.39641064155129263,CD4 T cells
8240,HSF4,0.0016660410910844803,False,0.39634019917315794,CD4 T cells
8241,TRIM3,0.001664471346884966,False,0.39626975679502324,CD4 T cells
8242,AHNAK2,0.0016635372303426266,False,0.39619931441688855,CD4 T cells
8243,SORCS2,0.0016614682972431183,False,0.39612887203875385,CD4 T cells
8244,SWSAP1,0.0016565322875976562,False,0.39605842966061916,CD4 T cells
8245,PPARG,0.0016464665532112122,False,0.39598798728248447,CD4 T cells
8246,RNF149,0.0016462206840515137,False,0.39591754490434977,CD4 T cells
8247,ETV4,0.0016460292972624302,False,0.3958471025262151,CD4 T cells
8248,TMEM44,0.0016439459286630154,False,0.3957766601480804,CD4 T cells
8249,AQP8,0.001643642783164978,False,0.3957062177699457,CD4 T cells
8250,PIFO,0.0016433261334896088,False,0.395635775391811,CD4 T cells
