method,source_type,receiver_type,coupling_change,bootstrap_se,fdr
CytoSPACE dropout,Abstained,NK cells,-0.0667254556143445,0.003755994,3.795844073605196e-69
CytoSPACE dropout,Abstained,PVL,-0.05555555555555555,0.0036825263,1.9144849906678258e-50
CytoSPACE dropout,Abstained,Plasma cells,-0.014403292181069957,0.0016279132,2.858855460786551e-18
CytoSPACE dropout,Abstained,T-cells,-0.015432098765432096,0.0015113248,7.285468642888804e-24
CytoSPACE dropout,Abstained,Abstained,-0.4479717813051146,0.011225828,0.0
SVTuner,B cells,B cells,0.018714481677444644,0.002044463,8.799398496055019e-19
SVTuner,B cells,CD4 T cells,0.00945522241818538,0.0012533951,2.990364511491981e-13
SVTuner,B cells,CD8 T cells,0.0114148540074466,0.0012942547,1.2719994271030807e-17
SVTuner,B cells,Endothelial cells,0.004458161865569273,0.0007897835,5.0670558580822194e-08
SVTuner,B cells,Epithelial cells,4.899078973153047e-05,5.287638e-05,0.4396693865153477
SVTuner,B cells,Fibroblasts,0.005388986870468351,0.00088327547,4.212597032111975e-09
SVTuner,B cells,Monocytes and Macrophages,0.005046051342347639,0.00080574054,1.6032648277529557e-09
SVTuner,B cells,NK cells,0.010190084264158336,0.0011326597,3.1429283623462307e-18
SVTuner,B cells,PVL,0.003723300019596316,0.0006138152,5.108971622359049e-09
SVTuner,B cells,Plasma cells,0.0,0.0,1.0
SVTuner,B cells,T-cells,0.0013717421124828533,0.00037129797,0.0004288134309531859
SVTuner,B cells,Abstained,0.0069077013521457965,0.0012963394,2.590988002799631e-07
SVTuner,CD4 T cells,B cells,0.00955320399764844,0.001041826,8.540173996899725e-19
SVTuner,CD4 T cells,CD4 T cells,0.009847148736037621,0.001159195,1.903158198838457e-16
SVTuner,CD4 T cells,CD8 T cells,0.007348618459729568,0.0009890198,6.505822944900379e-13
SVTuner,CD4 T cells,Endothelial cells,0.005095042132079168,0.0009195457,8.84716719237901e-08
SVTuner,CD4 T cells,Epithelial cells,0.0004899078973153048,0.00024133445,0.06161014428501342
SVTuner,CD4 T cells,Fibroblasts,0.006613756613756613,0.00097569195,6.028396778333519e-11
SVTuner,CD4 T cells,Monocytes and Macrophages,0.0034783460709386627,0.00069183484,1.2763735826412258e-06
SVTuner,CD4 T cells,NK cells,0.007299627669998039,0.00084696594,6.973786687218379e-17
SVTuner,CD4 T cells,PVL,0.004458161865569273,0.00077044126,2.4066795276983222e-08
SVTuner,CD4 T cells,Plasma cells,0.0,0.0,1.0
SVTuner,CD4 T cells,T-cells,0.0015187144816774445,0.00036176466,6.153045388579069e-05
SVTuner,CD4 T cells,Abstained,0.006025867136978248,0.0009849758,3.903919408522852e-09
SVTuner,CD8 T cells,B cells,0.007887517146776405,0.0010137098,4.9400726011253377e-14
SVTuner,CD8 T cells,CD4 T cells,0.007691553987850284,0.00095348817,5.471402571346882e-15
SVTuner,CD8 T cells,CD8 T cells,0.008279443464628649,0.0009885142,4.652245935378342e-16
SVTuner,CD8 T cells,Endothelial cells,0.0053399960807368205,0.0009042157,1.2644070301319833e-08
SVTuner,CD8 T cells,Epithelial cells,0.0003429355281207133,0.0001860169,0.09302336547903615
SVTuner,CD8 T cells,Fibroblasts,0.005388986870468351,0.00086029153,1.6032648277529557e-09
SVTuner,CD8 T cells,Monocytes and Macrophages,0.002204585537918871,0.0006116902,0.0005890907273028253
SVTuner,CD8 T cells,NK cells,0.006172839506172838,0.0008291375,6.074515910520189e-13
SVTuner,CD8 T cells,PVL,0.003674309229864785,0.00060901546,6.091539147070889e-09
SVTuner,CD8 T cells,Plasma cells,0.0,0.0,1.0
SVTuner,CD8 T cells,T-cells,0.0019596315892612187,0.00051758124,0.0003103293150036458
SVTuner,CD8 T cells,Abstained,0.00837742504409171,0.0014554316,2.7566105175331625e-08
SVTuner,Endothelial cells,B cells,0.0021555947481873405,0.00056494476,0.0002794847968606539
SVTuner,Endothelial cells,CD4 T cells,0.002155594748187341,0.00050350314,4.317514085409724e-05
SVTuner,Endothelial cells,CD8 T cells,0.0019596315892612187,0.00047933153,9.628553185956655e-05
SVTuner,Endothelial cells,Endothelial cells,0.002890456594160298,0.0007497941,0.00024152239052253316
SVTuner,Endothelial cells,Epithelial cells,0.0002449539486576524,0.00016975458,0.20055518494498475
SVTuner,Endothelial cells,Fibroblasts,0.003968253968253966,0.0008129965,2.6662091990804427e-06
SVTuner,Endothelial cells,Monocytes and Macrophages,0.0004899078973153048,0.00020386327,0.02517035017720865
SVTuner,Endothelial cells,NK cells,0.002498530276308054,0.0006696709,0.0003762434189704638
SVTuner,Endothelial cells,PVL,0.001959631589261219,0.0004887808,0.00013291341764886018
SVTuner,Endothelial cells,Plasma cells,0.0,0.0,1.0
SVTuner,Endothelial cells,T-cells,0.0001959631589261219,0.000118262644,0.13373640357551
SVTuner,Endothelial cells,Abstained,0.0008818342151675485,0.0004940656,0.10487327184459914
SVTuner,Epithelial cells,B cells,4.899078973153047e-05,4.901203e-05,0.4046276011117002
SVTuner,Epithelial cells,CD4 T cells,9.798157946306095e-05,6.8562935e-05,0.2039768847336044
SVTuner,Epithelial cells,CD8 T cells,0.00014697236919459142,0.00010938931,0.23659193812117427
SVTuner,Epithelial cells,Endothelial cells,0.0,0.0,1.0
SVTuner,Epithelial cells,Epithelial cells,0.0,0.0,1.0
SVTuner,Epithelial cells,Fibroblasts,4.899078973153047e-05,4.5812903e-05,0.3696058399728276
SVTuner,Epithelial cells,Monocytes and Macrophages,4.899078973153047e-05,4.5812903e-05,0.3696058399728276
SVTuner,Epithelial cells,NK cells,4.899078973153047e-05,4.901203e-05,0.4046276011117002
SVTuner,Epithelial cells,PVL,0.0,0.0,1.0
SVTuner,Epithelial cells,Plasma cells,0.0,0.0,1.0
SVTuner,Epithelial cells,T-cells,0.0,0.0,1.0
SVTuner,Epithelial cells,Abstained,0.0004409171075837742,0.00026242595,0.12866752168450316
SVTuner,Fibroblasts,B cells,0.004115226337448559,0.00073525554,6.542725909027011e-08
SVTuner,Fibroblasts,CD4 T cells,0.004409171075837741,0.00079906156,9.87848495322499e-08
SVTuner,Fibroblasts,CD8 T cells,0.0038212815990593756,0.00067450193,4.5934372022757306e-08
SVTuner,Fibroblasts,Endothelial cells,0.005633940819126003,0.00094486756,9.161995391569865e-09
SVTuner,Fibroblasts,Epithelial cells,0.0005878894767783658,0.00025618105,0.03261513954692919
SVTuner,Fibroblasts,Fibroblasts,0.009112286890064668,0.0012665348,3.606722428039262e-12
SVTuner,Fibroblasts,Monocytes and Macrophages,0.0021066039584558107,0.0005852837,0.0005890907273028253
SVTuner,Fibroblasts,NK cells,0.005046051342347639,0.00086428423,1.8068320913166546e-08
SVTuner,Fibroblasts,PVL,0.006564765824025083,0.0010380555,1.1831897022587555e-09
SVTuner,Fibroblasts,Plasma cells,0.0,0.0,1.0
SVTuner,Fibroblasts,T-cells,0.0004899078973153048,0.0002121135,0.031691450222382504
SVTuner,Fibroblasts,Abstained,0.003086419753086419,0.00089853926,0.0010668712043071641
SVTuner,Monocytes and Macrophages,B cells,0.002155594748187341,0.0005578887,0.00023636471287642226
SVTuner,Monocytes and Macrophages,CD4 T cells,0.0019596315892612187,0.00047446348,8.154886065231466e-05
SVTuner,Monocytes and Macrophages,CD8 T cells,0.0019596315892612187,0.00061357673,0.0024072190409406085
SVTuner,Monocytes and Macrophages,Endothelial cells,0.000832843425436018,0.00030436658,0.009940984378520364
SVTuner,Monocytes and Macrophages,Epithelial cells,4.899078973153047e-05,5.1269722e-05,0.42486206952934985
SVTuner,Monocytes and Macrophages,Fibroblasts,0.0022535763276504014,0.00061233755,0.00044731003196321444
SVTuner,Monocytes and Macrophages,Monocytes and Macrophages,0.013619439545365472,0.0020708644,2.3089276364234296e-10
SVTuner,Monocytes and Macrophages,NK cells,0.0022535763276504014,0.0006623518,0.001187560133354657
SVTuner,Monocytes and Macrophages,PVL,0.0004899078973153048,0.00019914903,0.021746271355562497
SVTuner,Monocytes and Macrophages,Plasma cells,0.0,0.0,1.0
SVTuner,Monocytes and Macrophages,T-cells,0.0004409171075837742,0.00022724924,0.07538550261489632
SVTuner,Monocytes and Macrophages,Abstained,0.006613756613756613,0.0014723304,1.7218137996680682e-05
SVTuner,NK cells,B cells,0.010092102684695275,0.0010969456,7.350859925745047e-19
SVTuner,NK cells,CD4 T cells,0.008279443464628649,0.00088974717,3.204068110038793e-19
