scenario,dataset_label,scrna_label,masked_label,method,display_method,cell_type,actual_cell_type,cell_label,feature,NES,P-value,ES,peak_rank,n_cells,n_close,n_far,n_genes_used
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE10,,,,0,0,0,0,0
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE9,0.9017931390655629,0.7272727272727273,0.271121910001203,541,7569,3787,3782,187
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.9533311295055938,0.6253746253746254,0.2846776121980196,570,7569,3787,3782,210
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE9,0.569412021778136,0.949050949050949,0.16532167568266398,142,7569,3789,3780,83
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE10,1.0487314678971122,0.4405594405594406,0.30988143483251246,364,7569,3789,3780,84
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,-8.208421815999822e-14,1.0,-1.0505485370515544e-14,2000,7569,3794,3775,198
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,5.256426953933189,0.000999000999000999,0.6628684442400777,265,7569,3794,3775,305
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE9,1.461675813462439,0.00999000999000999,0.6229114495924283,204,7575,3793,3782,30
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE10,1.0522985015943969,0.46653346653346656,0.4740573172645149,140,7575,3793,3782,15
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE9,1.5351937310918815,0.006993006993006993,0.6779835768651228,428,4276,2167,2109,22
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE10,1.4329725395494477,0.06793206793206794,0.6870919136112393,632,4276,2167,2109,9
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE9,0.8960155545061782,0.7802197802197802,0.29398929300187737,528,7941,3971,3970,187
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE10,1.0700368175091115,0.2857142857142857,0.3469993923277271,586,7941,3971,3970,210
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE9,0.5777117746407399,0.935064935064935,0.1705948266138307,219,7941,3975,3966,83
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE10,1.358305765291013,0.08791208791208792,0.3987709237904331,300,7941,3975,3966,84
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,-8.185227452513763e-14,1.0,-1.0234868508263162e-14,2000,7941,3986,3955,198
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,5.507808143359026,0.000999000999000999,0.6727212987873001,221,7941,3986,3955,305
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE9,1.303921437268585,0.07292707292707293,0.554547867984456,368,7946,3988,3958,30
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE10,1.0234632377052868,0.5204795204795205,0.4639540665793084,232,7946,3988,3958,15
cytospace_fig2d_tme_brca_er_her2_fresh_frozen_profile_mask_t_cells,"HER2+ BRCA
FF",Wu et al.,T-cells,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE9,1.6433597166712253,0.000999000999000999,0.7302009510279395,341,4486,2261,2225,22
