condition,source_type,receiver_type,coupling
Full reference,Fibroblasts,B cells,0.009504213207916912
Full reference,Fibroblasts,CD4 T cells,0.0066137566137566125
Full reference,Fibroblasts,CD8 T cells,0.008671369782480894
Full reference,Fibroblasts,Endothelial cells,0.008279443464628649
Full reference,Fibroblasts,Epithelial cells,0.0007348618459729572
Full reference,Fibroblasts,Fibroblasts,0.01469723691945914
Full reference,Fibroblasts,Monocytes and Macrophages,0.005731922398589064
Full reference,Fibroblasts,NK cells,0.00945522241818538
Full reference,Fibroblasts,PVL,0.010043111894963746
Full reference,Fibroblasts,Plasma cells,0.0096511855771115
Full reference,Fibroblasts,T-cells,0.0012737605330197922
Full reference,Fibroblasts,Abstained,0.0
Full reference,Monocytes and Macrophages,B cells,0.006907701352145797
Full reference,Monocytes and Macrophages,CD4 T cells,0.005437977660199881
Full reference,Monocytes and Macrophages,CD8 T cells,0.007103664511071918
Full reference,Monocytes and Macrophages,Endothelial cells,0.005291005291005291
Full reference,Monocytes and Macrophages,Epithelial cells,0.0002449539486576524
Full reference,Monocytes and Macrophages,Fibroblasts,0.006564765824025082
Full reference,Monocytes and Macrophages,Monocytes and Macrophages,0.032284930433078576
Full reference,Monocytes and Macrophages,NK cells,0.007054673721340387
Full reference,Monocytes and Macrophages,PVL,0.004801097393689985
Full reference,Monocytes and Macrophages,Plasma cells,0.007936507936507936
Full reference,Monocytes and Macrophages,T-cells,0.00102880658436214
Full reference,Monocytes and Macrophages,Abstained,0.0
Full reference,NK cells,B cells,0.02194787379972565
Full reference,NK cells,CD4 T cells,0.019449343523417595
Full reference,NK cells,CD8 T cells,0.021702919851068
Full reference,NK cells,Endothelial cells,0.008965314520870075
Full reference,NK cells,Epithelial cells,0.001126788163825201
Full reference,NK cells,Fibroblasts,0.013521457965902409
Full reference,NK cells,Monocytes and Macrophages,0.01038604742308446
Full reference,NK cells,NK cells,0.02067411326670586
Full reference,NK cells,PVL,0.0085243974132863
Full reference,NK cells,Plasma cells,0.010875955320399764
Full reference,NK cells,T-cells,0.004801097393689986
Full reference,NK cells,Abstained,0.0
Full reference,PVL,B cells,0.0051440329218107
