curve_order,precision,recall,threshold
150,0.07652474108170311,0.9925373134328358,0.2303328082060013
151,0.07656879677605066,0.9925373134328358,0.2313087247805525
152,0.07661290322580645,0.9925373134328358,0.231500081225753
153,0.07665706051873199,0.9925373134328358,0.2319445943180414
154,0.07670126874279123,0.9925373134328358,0.2321862417625873
155,0.07674552798615118,0.9925373134328358,0.2323241154146205
156,0.07678983833718245,0.9925373134328358,0.232343263495969
157,0.07683419988445984,0.9925373134328358,0.2327032129367749
158,0.07687861271676301,0.9925373134328358,0.232750901662824
159,0.07692307692307693,0.9925373134328358,0.232837267737718
160,0.07696759259259259,0.9925373134328358,0.2330705195503778
161,0.07701215981470759,0.9925373134328358,0.2334348986185246
162,0.07705677867902665,0.9925373134328358,0.2334556981499889
163,0.07710144927536232,0.9925373134328358,0.2335658677695798
164,0.0771461716937355,0.9925373134328358,0.2338909325296574
165,0.0771909460243761,0.9925373134328358,0.2340966642667325
166,0.07723577235772358,0.9925373134328358,0.2347016996437881
167,0.07728065078442765,0.9925373134328358,0.2356927948175673
168,0.07732558139534884,0.9925373134328358,0.2357809947143219
169,0.07737056428155904,0.9925373134328358,0.2358231892313119
170,0.07741559953434225,0.9925373134328358,0.2358497371576179
171,0.07746068724519511,0.9925373134328358,0.2361388588868609
172,0.0775058275058275,0.9925373134328358,0.236771418644924
173,0.07755102040816327,0.9925373134328358,0.2370726738372716
174,0.07759626604434072,0.9925373134328358,0.2376987591930542
175,0.07764156450671336,0.9925373134328358,0.2383888314266908
176,0.07768691588785047,0.9925373134328358,0.2386986471667792
177,0.0777323202805377,0.9925373134328358,0.2388943831491415
178,0.07777777777777778,0.9925373134328358,0.2389122384853248
179,0.0778232884727911,0.9925373134328358,0.2391915133706588
180,0.0778688524590164,0.9925373134328358,0.2392014922454247
181,0.07791446983011131,0.9925373134328358,0.239343454015615
182,0.0779601406799531,0.9925373134328358,0.239406887489116
183,0.0780058651026393,0.9925373134328358,0.2394840638173359
184,0.07805164319248827,0.9925373134328358,0.2396829043030504
185,0.07809747504403992,0.9925373134328358,0.240104586621548
186,0.0781433607520564,0.9925373134328358,0.2403074741540623
187,0.07818930041152264,0.9925373134328358,0.240370608157309
188,0.07823529411764706,0.9925373134328358,0.2405086212749788
189,0.07828134196586227,0.9925373134328358,0.2405104430113007
190,0.07832744405182568,0.9925373134328358,0.2407134127279962
191,0.07837360047142015,0.9925373134328358,0.2412541100724829
192,0.07841981132075472,0.9925373134328358,0.2413354388496313
193,0.07846607669616519,0.9925373134328358,0.241371224112087
194,0.07851239669421488,0.9925373134328358,0.2417562508456794
195,0.07855877141169522,0.9925373134328358,0.2420789703527226
196,0.07860520094562648,0.9925373134328358,0.2423923254754137
197,0.07865168539325842,0.9925373134328358,0.2424525193559268
198,0.07869822485207101,0.9925373134328358,0.2426205727949873
199,0.07874481941977501,0.9925373134328358,0.2428898625059711
200,0.07879146919431279,0.9925373134328358,0.2432728535435064
201,0.07883817427385892,0.9925373134328358,0.2436574045794434
202,0.07888493475682087,0.9925373134328358,0.2439644618244349
203,0.07893175074183977,0.9925373134328358,0.2442717888637995
204,0.07897862232779097,0.9925373134328358,0.244382252123536
205,0.07902554961378491,0.9925373134328358,0.244467891472977
206,0.07907253269916766,0.9925373134328358,0.2448378139413149
207,0.07911957168352171,0.9925373134328358,0.2449701735382703
208,0.07916666666666666,0.9925373134328358,0.2455515423228513
209,0.07921381774865992,0.9925373134328358,0.2459090796129022
210,0.07926102502979737,0.9925373134328358,0.246303241343882
211,0.07930828861061419,0.9925373134328358,0.2467473713114113
212,0.07935560859188544,0.9925373134328358,0.2468159023962919
213,0.07940298507462687,0.9925373134328358,0.2469081282723068
214,0.07945041816009558,0.9925373134328358,0.2471618489629636
215,0.0794979079497908,0.9925373134328358,0.2472458654485661
216,0.07954545454545454,0.9925373134328358,0.2477603539108487
217,0.07959305804907241,0.9925373134328358,0.2479010041017282
218,0.07964071856287425,0.9925373134328358,0.2479055341244178
219,0.07968843618933494,0.9925373134328358,0.2482372388288524
220,0.07973621103117506,0.9925373134328358,0.2482427573659336
221,0.07978404319136173,0.9925373134328358,0.2485089797162994
222,0.07983193277310924,0.9925373134328358,0.2489236704963277
223,0.07987987987987988,0.9925373134328358,0.2491169758774101
224,0.07992788461538461,0.9925373134328358,0.2494134866383542
225,0.07997594708358388,0.9925373134328358,0.2498054906819846
226,0.08002406738868832,0.9925373134328358,0.2502161971521193
