curve_order,false_positive_rate,true_positive_rate,threshold
138,0.18814139110604333,0.6791044776119403,0.4783058311062142
139,0.18814139110604333,0.6865671641791045,0.478128715421615
140,0.1949828962371722,0.6865671641791045,0.475870553737037
141,0.1949828962371722,0.6940298507462687,0.4746260686867851
142,0.19555302166476624,0.6940298507462687,0.4744655089403031
143,0.19555302166476624,0.7014925373134329,0.4744594941311343
144,0.19783352337514254,0.7014925373134329,0.4735995439366015
145,0.19783352337514254,0.7089552238805971,0.4729926054873469
146,0.2063854047890536,0.7089552238805971,0.468954604473459
147,0.2063854047890536,0.7164179104477612,0.4684340648466215
148,0.20980615735461802,0.7164179104477612,0.4672898362400474
149,0.20980615735461802,0.7238805970149254,0.4672648393654601
150,0.22690992018244013,0.7238805970149254,0.4618132372859909
151,0.22690992018244013,0.7388059701492538,0.460648433370443
152,0.2314709236031927,0.7388059701492538,0.4580172551208861
153,0.2314709236031927,0.746268656716418,0.4576428706063358
154,0.23204104903078676,0.746268656716418,0.4575166121004275
155,0.23204104903078676,0.753731343283582,0.4575058515246774
156,0.2354618015963512,0.753731343283582,0.4567375702988622
157,0.2354618015963512,0.7611940298507462,0.4560604981305383
158,0.26054732041049034,0.7611940298507462,0.4473086543222181
159,0.26054732041049034,0.7686567164179104,0.4472920389379058
160,0.27765108323831245,0.7686567164179104,0.4420769438046568
161,0.27765108323831245,0.7761194029850746,0.4417939672922145
162,0.2805017103762828,0.7761194029850746,0.4410217847335484
163,0.2805017103762828,0.7835820895522388,0.4409616345506392
164,0.28506271379703535,0.7835820895522388,0.4394073721885543
165,0.28506271379703535,0.7910447761194029,0.4392917106830744
166,0.2936145952109464,0.7910447761194029,0.4361574218694532
167,0.2936145952109464,0.7985074626865671,0.4356568428155712
168,0.3033067274800456,0.7985074626865671,0.431698301207849
169,0.3033067274800456,0.8059701492537313,0.4314995401603847
170,0.3289623717217788,0.8059701492537313,0.4235766580785449
171,0.3289623717217788,0.8134328358208955,0.4231940255869673
172,0.33409350057012543,0.8134328358208955,0.4215851836724895
173,0.33409350057012543,0.8208955223880597,0.4214838805007114
174,0.33979475484606614,0.8208955223880597,0.4199297811802884
175,0.33979475484606614,0.8283582089552238,0.4196756015426886
176,0.35119726339794755,0.8283582089552238,0.416475923146418
177,0.35119726339794755,0.835820895522388,0.4163871388320328
178,0.3540478905359179,0.835820895522388,0.4156595722054275
179,0.3540478905359179,0.8432835820895522,0.415505639666302
180,0.37001140250855186,0.8432835820895522,0.409222270254694
181,0.37001140250855186,0.8507462686567164,0.4091204105774969
182,0.38027366020524517,0.8507462686567164,0.4049518653569289
183,0.38027366020524517,0.8582089552238806,0.404851856027003
184,0.3814139110604333,0.8582089552238806,0.4045925384879959
185,0.3814139110604333,0.8656716417910447,0.4045675242071009
186,0.4127708095781072,0.8656716417910447,0.3950392043414237
187,0.4127708095781072,0.8731343283582089,0.3949320990617037
188,0.41334093500570124,0.8731343283582089,0.3947291796708236
189,0.41334093500570124,0.8805970149253731,0.3946987041475963
190,0.4167616875712657,0.8805970149253731,0.3932193888370058
191,0.4167616875712657,0.8880597014925373,0.3927044599320413
192,0.43329532497149376,0.8880597014925373,0.3879149666299247
193,0.43329532497149376,0.8955223880597015,0.3878501070374848
194,0.4566704675028506,0.8955223880597015,0.3796147272646174
195,0.4566704675028506,0.9029850746268657,0.3796054057636011
196,0.4646522234891676,0.9029850746268657,0.376647647480849
197,0.4646522234891676,0.9104477611940298,0.3765702531028674
198,0.467502850627138,0.9104477611940298,0.3758120591148576
199,0.467502850627138,0.917910447761194,0.3754249872921483
200,0.47605473204104903,0.917910447761194,0.3733740411415789
201,0.47605473204104903,0.9253731343283582,0.3733244286612194
202,0.47776510832383123,0.9253731343283582,0.3731748647804451
203,0.47776510832383123,0.9328358208955224,0.3730944655481678
204,0.5307867730900798,0.9328358208955224,0.3573926157733987
205,0.5307867730900798,0.9402985074626866,0.3571785459905316
206,0.5689851767388826,0.9402985074626866,0.3461290870042344
207,0.5689851767388826,0.9477611940298507,0.345969237741375
208,0.5997719498289624,0.9477611940298507,0.3368018611824852
209,0.5997719498289624,0.9552238805970149,0.3365758451785216
210,0.620866590649943,0.9552238805970149,0.3304854580582068
211,0.620866590649943,0.9626865671641791,0.3302930173569955
212,0.7001140250855188,0.9626865671641791,0.3078075423290015
213,0.7001140250855188,0.9701492537313433,0.3075666669921376
214,0.7360319270239453,0.9701492537313433,0.2970782130577102
215,0.7360319270239453,0.9776119402985075,0.2969999033426407
216,0.7958950969213227,0.9776119402985075,0.276254455649552
217,0.7958950969213227,0.9850746268656716,0.2760702981616288
218,0.8101482326111744,0.9850746268656716,0.2716561935811869
219,0.8101482326111744,0.9925373134328358,0.2715497569893283
220,0.9207525655644242,0.9925373134328358,0.2256125960233019
221,0.9207525655644242,1.0,0.2253816157861399
222,1.0,1.0,0.0831969787619414
