umap_1,umap_2,subcluster
1.4951522,0.8548002,0
1.9580948,2.7029033,0
-0.1760805,-0.22006817,0
-5.4599614,-5.7854533,1
-5.317341,-2.4491463,1
4.7925563,4.099455,0
1.5207537,0.8156482,0
0.7645538,-0.9210624,0
-1.252254,-1.7628609,2
1.6125078,2.2698894,0
-2.5904684,-0.97744405,2
-3.2008665,-3.0114825,2
0.06569863,0.46974707,0
-5.8684225,-2.0087347,1
-0.43139032,-0.8822631,0
-0.7283755,-2.1429005,2
-0.14999717,0.17861702,0
2.0295596,1.6304325,0
-2.923267,-0.15296419,2
-3.3707576,-2.471211,2
3.5011473,3.738342,0
-1.0058876,0.1615433,0
-4.841437,-3.515827,1
-9.555067,-6.007594,3
-6.8142567,-4.785915,1
-3.5980413,-2.8494136,1
-4.983845,-4.494214,1
1.7821738,-0.4487886,0
2.3353848,0.91625583,0
-4.373316,-1.7860968,2
-4.3332095,-1.0499412,2
-0.99497455,-2.5646245,2
-2.4885314,-1.2319878,2
-5.330042,-3.474946,1
-5.5111847,-2.8620443,1
-2.9541323,-1.8360027,2
-5.431863,-3.1935244,1
-9.190154,-5.1737943,3
3.81269,3.7984776,0
0.8872893,0.7815809,0
-7.463467,-5.9597116,3
1.4708422,2.2772293,0
-6.9313436,-6.472234,3
-4.2948446,-0.81853825,2
-2.2387135,0.21101157,2
-8.066876,-3.4153209,3
-3.5774794,-1.7053589,2
5.142117,3.5062497,0
0.20674022,0.43915614,0
-3.5366237,-2.2571793,1
-4.082303,-2.4424205,1
2.0968957,0.4511439,0
-4.4032245,-2.5136192,1
-3.0237362,-1.2517197,2
-9.628447,-5.0571737,3
2.477805,2.610754,0
-13.016214,-5.6420608,3
-9.087317,-4.528195,3
-2.3003364,-1.9897498,2
-3.9302397,-1.5062804,2
-1.4029654,0.12206735,2
2.3515768,2.8707209,0
-1.7397497,-1.337089,2
-6.6552215,-3.0024855,1
-2.0286243,0.054407183,2
-5.928954,-2.547876,1
3.8792706,3.7568398,0
-6.569341,-3.7742574,1
0.2586046,0.65734315,0
-10.13803,-5.938771,3
3.547979,1.1643021,0
3.804053,3.69886,0
-8.237348,-3.7150004,3
3.3810637,2.9785943,0
-4.8816543,-2.368245,1
0.3422538,-0.34877777,0
-1.6149817,-3.1884472,2
2.1891005,0.95155066,0
-1.680121,-3.206696,2
-10.812666,-5.2463975,3
4.923881,4.1008554,0
2.012395,1.5045323,0
-1.6714759,0.5729043,2
-4.010211,-1.7852397,2
0.35938653,-1.4187826,0
-2.4060209,-3.06113,2
-2.5132365,-2.3782735,2
0.4693217,-0.36941805,0
-13.081375,-5.5637975,3
-4.1581,-4.979631,1
0.3193919,0.6576106,0
-2.5784621,-0.9437932,2
-6.646967,-4.260652,1
0.27881807,0.41956732,0
2.482775,1.0843165,0
-6.1416326,-2.5253282,1
-4.7844453,-4.3912277,1
-3.5391233,-3.0759284,2
-5.7941546,-4.4278502,1
-0.21053936,0.15428711,0
-12.829973,-5.722186,3
1.2120587,-0.08883498,0
-5.6609535,-5.8013463,1
-1.249173,0.042894106,2
-1.3505439,-1.2723521,2
-8.16311,-5.1944904,3
3.4210114,2.4731753,0
0.6618895,-0.18337905,0
0.83094215,-0.32159126,0
3.364205,2.6773229,0
-5.2184377,-5.014856,1
1.0923853,1.7864218,0
-3.8771596,-2.05703,2
-0.4575429,-0.0076370244,0
-5.2995687,-3.896524,1
-0.90974003,-0.9177414,2
2.6760898,0.26155925,0
0.68443733,1.1217021,0
-1.9280536,-1.9106438,2
-2.9391499,-3.8617945,2
-4.2178597,-2.1715558,1
1.486679,-0.11079148,0
-1.8916558,-3.2408915,2
-4.0717163,-4.673774,1
3.089668,1.2540175,0
-4.6782722,-1.5885266,1
-2.2379189,-3.0871272,2
1.0216088,0.9913808,0
-5.024448,-3.131037,1
0.9481451,-0.82504326,0
-4.601045,-2.3796027,1
3.703713,2.721333,0
-0.14064692,-2.1019986,2
3.4209154,3.7144325,0
2.5366416,0.5612441,0
-2.022347,-2.6385715,2
-3.916532,-4.9237185,1
-5.643137,-2.3806024,1
-7.8102503,-4.2142687,3
-4.1196795,-4.9938807,1
-1.4272325,-2.7028728,2
-9.810662,-4.3863015,3
-0.46173358,-0.52602166,0
-8.906336,-5.657123,3
-2.0010536,-0.30207244,2
5.124076,3.5784032,0
-6.084482,-6.2913003,3
-1.621294,-1.1420738,2
-6.639085,-4.487365,1
-10.975812,-5.5722446,3
-2.278382,-0.51555014,2
-5.0864844,-5.996297,1
2.6070662,2.057783,0
2.127263,1.1899028,0
-1.2349632,-0.08476909,0
-6.2931314,-2.7638016,1
-5.103211,-2.8263073,1
-4.9933214,-5.452647,1
-4.0503755,-3.3769848,1
-9.710979,-4.3991513,3
2.4847553,1.1171685,0
-4.7296777,-3.404817,1
-3.4137945,-2.2397504,2
-4.174092,-5.8650317,1
-4.1106715,-4.3829575,1
3.5247204,0.97152334,0
-6.9404063,-5.1415973,3
2.133224,0.44991833,0
2.8483272,0.54607695,0
-2.331594,-2.5292487,2
-0.84575224,-2.1556752,2
-2.2966278,-4.7212844,1
-2.27156,-1.8624042,2
-1.7416472,-2.3695018,2
5.734904,4.0537004,0
-3.01336,-3.2106276,2
-5.0183387,-4.276526,1
-6.2129745,-3.4789925,1
-4.3901625,-4.2459507,1
0.01891762,-1.4332998,2
5.5835323,4.258125,0
-0.79857016,-1.6423359,2
-0.501243,0.7565157,0
-5.4598446,-3.7586057,1
-5.931531,-2.019123,1
-1.0108775,-2.0996127,2
-6.2388577,-5.616081,1
-0.094841905,-2.1927247,2
2.1159453,1.2631792,0
1.5571269,-0.6358215,0
-4.965665,-1.86065,1
-7.5385494,-5.0142584,3
-1.698873,-0.56730264,2
1.1906039,0.5782727,0
-10.441168,-6.190687,3
3.0499349,2.3212123,0
3.7024896,2.8226895,0
-2.3121998,-0.9168832,2
-8.22524,-6.2776136,3
-8.428196,-3.9403381,3
1.7001115,1.2374771,0
-4.9404616,-1.7866,1
-7.3033524,-5.841738,3
2.8711247,1.9606516,0
-1.435396,-2.7232738,2
1.7042193,1.2889498,0
1.666033,0.12112606,0
-6.4874597,-3.8452077,1
-8.414096,-3.6258302,3
-7.3869286,-5.850951,3
-2.854045,-0.50737673,2
1.1753037,-1.3750517,0
-8.086125,-4.4949765,3
2.672566,2.6110363,0
1.2814852,2.3331616,0
-8.720331,-5.8833313,3
-10.110756,-4.719974,3
1.7144774,-0.19937995,0
-2.6981742,-3.804888,2
-6.586266,-2.6427004,1
-4.330493,-3.0255246,1
5.093118,4.02653,0
-7.3336654,-3.207416,1
2.0741343,1.4183882,0
-0.6777728,0.95796794,0
-2.436779,-4.350008,2
-6.566639,-5.1377296,1
-5.666312,-3.7675989,1
3.6552136,2.7750077,0
-5.6148205,-2.6927836,1
-9.832667,-4.3094044,3
-4.744408,-5.934801,1
-3.044731,-0.85128355,2
-5.5236583,-2.9643562,1
-4.324958,-2.9402347,1
-5.0261483,-2.6988745,1
-4.7753243,-4.62811,1
-4.8449063,-2.3153684,1
-1.019495,0.32818237,0
-8.692539,-3.5959587,3
-3.7082705,-2.4489012,2
-2.6550841,-2.1037076,2
1.0132463,-0.36338443,0
-4.895989,-2.6104336,1
-6.7763467,-2.7854192,1
-5.7015357,-3.0673172,1
-7.5917206,-3.6134913,3
-3.4790552,-3.5686054,1
-3.1025014,-2.0277305,2
-3.8433049,-1.6846342,2
3.4279752,3.459349,0
-7.212276,-4.2576895,3
-7.1666517,-3.8163292,1
1.9869776,-0.3935327,0
-8.483467,-4.77655,3
0.96469426,1.5858684,0
-1.9213688,-0.063211,2
-9.421373,-5.8276305,3
1.0187454,1.4729784,0
-7.1069326,-4.1225643,1
1.0222131,1.8248277,0
-3.095747,-3.9519289,1
2.8698812,2.0449433,0
-0.3867784,1.0590552,0
1.7111139,1.0739772,0
-0.35692525,-2.080779,2
3.7581856,3.4031436,0
1.4954599,1.2288582,0
3.3540812,0.811941,0
-0.81063956,0.4813522,0
-2.076843,-3.278406,2
-4.557382,-2.9617298,1
-6.883173,-2.910639,1
-0.24177401,-1.7922925,2
1.4477053,-0.94813156,0
-7.9855566,-4.318693,3
3.1440911,0.7612923,0
-2.1651895,-0.54693073,2
-0.5622383,0.5887587,0
-7.1136312,-4.8432918,1
-2.943141,-1.5242234,2
-8.134194,-3.8535175,3
-0.5760628,0.32723504,0
-1.5336982,0.3717802,2
0.9872672,-0.01332833,0
-6.0293975,-3.53225,1
-4.7846622,-2.5050616,1
-0.17528133,0.6241816,0
-8.637386,-4.4317126,3
-0.5390065,-1.7402455,2
-8.856348,-3.9756165,3
3.7478323,1.790251,0
-10.440004,-6.08694,3
-7.006829,-5.4642444,3
0.34404087,-0.4864919,0
1.6159115,0.1941807,0
-7.326903,-6.1392403,3
2.890405,2.8120747,0
-7.9156356,-5.849415,3
-0.097012885,0.8160491,0
-2.0427992,-3.388633,2
-0.5105436,-0.08705949,0
-1.914254,-2.215068,2
-3.0393567,-0.28093693,2
-1.7479949,-2.2764473,2
-2.9420168,-1.3924425,2
-0.5792012,0.43980715,0
-5.0926013,-2.9103563,1
3.2952182,0.5895803,0
3.1818423,2.4735544,0
-4.3343406,-2.4587617,1
-3.1201034,-3.540213,2
-7.8691196,-3.8928525,3
4.1961317,2.1815672,0
2.8762388,3.185791,0
2.959718,1.1747658,0
-0.7353623,-1.811552,2
5.0554004,4.0265183,0
3.114154,0.6666188,0
-6.089199,-2.1206117,1
1.1913515,-0.6974608,0
-4.2082767,-2.9365578,1
5.080039,4.2909455,0
-4.1128297,-2.9488845,1
-9.054382,-6.068724,3
-3.8499756,-2.998907,1
-2.9891675,-1.8871392,2
-9.87244,-4.81172,3
-1.5766084,-2.6543305,2
1.1867925,0.008104777,0
0.6410197,1.5599484,0
0.8758158,-0.5707077,0
-2.8324037,-3.3085945,2
-3.783525,-3.2335396,1
1.85619,0.606383,0
5.4734616,4.402875,0
-0.4556947,-1.4406186,0
-6.2847323,-3.521227,1
-8.28322,-5.2745056,3
-6.2976017,-4.2225204,1
-5.1851497,-3.0082014,1
-9.281915,-4.2263603,3
-1.2371746,-0.59928757,2
-2.1825085,-1.8512446,2
-7.383901,-2.9870574,3
-3.58654,-1.3113625,2
-4.266504,-4.6158743,1
1.2279509,1.2647046,0
-7.3702135,-6.3060074,3
2.7333565,1.6182438,0
2.5075884,0.7154147,0
-10.253569,-4.5038366,3
