umap_1,umap_2,subcluster
8.12736,-3.8552325,3
-1.5652306,3.1156597,4
3.1369731,2.6752138,1
4.737019,-2.5845308,0
0.27327815,3.2440052,4
7.5772142,0.057179183,0
4.2264643,0.6868604,0
5.6051583,-2.1216567,2
1.3738171,3.3862658,4
1.3449876,0.020252608,1
4.655523,1.3055068,0
2.4876237,1.9179661,1
-4.9417357,5.030051,4
7.4297686,-1.9142101,2
6.4255204,-0.84680736,2
-0.28325057,1.2393806,4
9.710762,-1.8341731,3
4.1678915,-3.1534264,0
10.529366,-3.0827484,3
10.262795,-2.0119336,3
11.816237,-3.407067,3
-3.1980176,4.9273243,4
12.74602,-2.9717822,3
4.2490754,-2.967887,0
4.7058187,-3.5202136,0
5.6551266,-3.5002868,2
11.080295,-2.3245404,3
8.332418,-3.782976,3
9.127156,-2.589126,3
9.017638,-3.8636804,3
5.1809344,-3.5590272,0
5.0440764,-3.4192095,0
9.067795,-2.9778936,3
11.64365,-2.3161156,3
5.244269,0.963264,0
9.398414,-4.8591185,3
6.5428805,0.532288,0
-0.43607643,3.937978,4
12.789503,-1.9275745,3
6.5711827,-4.630368,2
12.043262,-4.36041,3
2.254628,0.9711437,1
3.153419,0.118490145,1
10.952669,-4.3582444,3
5.4252887,0.31705454,0
6.372053,-0.6488922,0
8.166417,-4.01877,3
0.2800872,2.2314482,4
7.50548,-2.670163,2
9.280715,-3.3650594,3
-1.1460541,2.8515303,4
-1.7713797,4.8256598,4
6.5468926,-2.5570247,2
3.568572,-2.1753736,0
3.3814962,1.9282243,1
5.6647563,-1.3386717,0
-1.2568014,3.3027282,4
3.907982,0.9832582,1
11.823048,-2.6224637,3
1.2455175,0.45896047,1
6.4921246,-0.88112,2
3.0517437,-2.369336,0
5.9134464,-1.2634257,2
11.245863,-2.2956448,3
2.175789,1.3407903,1
4.3078313,-0.059154667,0
2.5565135,-0.6563482,1
1.3914365,-0.40443045,1
9.153472,-4.933194,3
-5.000481,4.7655,4
8.996553,-3.5533702,3
3.6091037,0.46941552,1
12.580756,-2.2809827,3
3.2785382,-2.16116,0
4.23814,-1.276246,0
3.8695693,2.0603812,1
5.6725907,-1.542145,2
2.1225584,2.1453972,1
6.5277953,-0.6071991,0
4.886656,-0.41287276,0
1.7566599,2.168593,1
6.7052183,-3.229761,2
2.30048,0.72979975,1
4.1823997,-2.316334,0
13.761126,-2.852288,3
12.801112,-2.2232187,3
9.273764,-4.1390247,3
2.3744428,-1.863391,0
1.5164703,-0.2211737,1
4.392444,-1.9902062,0
-0.38827083,1.8601612,4
6.8955655,-2.9635894,2
4.761707,-0.1053248,0
1.5916622,2.9479365,1
6.8859553,-4.2292194,2
2.7964606,0.5613192,1
-1.4141372,3.879582,4
-0.5004166,3.7747464,4
6.8805866,-2.6846302,2
8.98041,-2.7504945,3
0.68028796,0.6746718,1
10.561043,-4.571629,3
6.8162007,-0.012387627,0
0.8662488,1.7872744,1
6.1541257,0.28630048,0
3.8249407,1.7778376,1
2.1359293,0.5860448,1
4.7110643,0.568072,0
1.1431979,3.054643,4
4.8461933,-2.862864,0
3.7930791,0.88731635,1
5.334406,0.98147416,0
4.127458,-0.45861182,0
5.99626,-1.9144818,2
11.501309,-2.6398714,3
4.2961216,-2.7069452,0
2.1730785,1.9268558,1
12.838999,-2.1618962,3
10.561432,-2.2111518,3
3.5893912,1.3614963,1
10.331178,-4.5672164,3
11.994713,-4.691475,3
4.6846504,-0.7713924,0
4.2591105,-0.6432723,0
2.7726486,1.8017981,1
12.394237,-4.164005,3
-1.6332403,4.5009212,4
4.328831,-3.1481385,0
7.8570757,-2.8852086,2
1.865382,2.309415,1
1.7812024,0.19970031,1
7.6488514,-3.4704232,2
7.583491,-2.9784498,2
-5.020674,4.8392167,4
0.5310724,1.9567038,4
9.928099,-1.4286181,3
5.4457994,-1.9504926,0
-2.0861378,3.9104164,4
4.140841,-1.3878313,0
6.2914987,-3.7463694,2
7.106192,-0.74527293,2
5.049985,0.6429906,0
2.6604543,2.878686,1
4.4959054,-1.6300802,0
8.485049,-1.4194082,2
6.0064626,-3.11749,2
3.8476462,-2.0857723,0
0.9370779,2.619898,4
-0.49554053,3.5538235,4
6.069489,-0.34431154,0
4.839354,-3.319261,0
10.3741665,-3.9792972,3
5.286279,0.93983626,0
3.5818343,-1.8205299,0
5.3860383,-0.6535029,0
-1.6161708,4.409371,4
7.5171747,-0.9140107,2
4.2168727,0.2028104,0
10.980815,-4.136775,3
12.747327,-2.6076643,3
9.345491,-3.866544,3
0.95486593,3.5416796,4
0.9247587,1.0632746,1
3.520966,0.5093714,1
-1.9679295,4.701177,4
6.315829,1.1822964,0
1.2311649,1.2181535,1
-2.1764562,3.88958,4
6.3645,-2.105895,2
2.936019,2.3898869,1
5.9648604,-1.274094,2
0.9264215,1.6458107,1
2.1293416,-0.07507416,1
5.164527,-0.5600744,0
1.7827201,-0.5512045,1
-0.61135876,2.6051247,4
2.5213778,-1.0757571,0
4.2827873,-1.3568382,0
-0.7447469,3.3921223,4
-0.6347178,4.333025,4
5.411824,-4.117689,0
7.209702,-2.4390917,2
7.4441185,-4.28582,2
8.9476385,-2.8981256,3
9.343494,-0.9708344,2
5.823965,-0.12043597,0
2.6538992,-1.875497,0
-1.6534775,4.392554,4
13.634109,-2.8594072,3
11.215496,-4.5804944,3
5.846006,-1.4431372,2
6.3043804,-1.0149356,2
7.5073886,0.43643692,0
4.010408,1.7337134,1
-2.4085493,4.1147184,4
9.437103,-3.5227804,3
8.432399,-2.065437,2
10.058799,-4.917498,3
3.8568628,-1.5302765,0
9.255838,-4.1938763,3
7.360682,-0.49660787,2
1.3442016,3.3609366,4
2.7587368,0.42334035,1
12.930028,-2.0505455,3
7.3635697,-0.8159949,2
5.1513896,-1.6313139,0
3.8662434,-2.8881319,0
4.079299,-0.6236076,0
4.094312,-0.40771076,0
3.6659143,-1.782735,0
6.5663385,-3.1616063,2
5.538663,-2.0262787,0
4.7099776,0.020807128,0
6.700699,-0.9776465,2
-1.4466546,3.6247668,4
4.774576,1.0582879,0
1.7755544,0.11277442,1
2.5674956,1.1370693,1
3.3390403,1.7672361,1
-1.8037243,3.9952598,4
5.802996,-3.4773154,0
13.369365,-2.2817965,3
10.123054,-4.4510794,3
0.42223686,0.33476448,1
11.469389,-1.8565675,3
4.8753114,-3.9792664,0
4.7951617,1.453094,0
6.0017643,0.48161966,0
0.54330426,2.9706075,4
2.5605166,2.259436,1
12.040404,-3.2385156,3
5.6307507,0.28334486,0
3.0210319,1.1723619,1
-0.41742274,3.517001,4
5.6899543,-0.13903011,0
5.9039874,-0.7796604,0
8.181313,-3.2755249,2
2.9558227,0.93534315,1
9.957881,-1.4063369,3
-5.21244,4.99542,4
1.1847491,2.370324,1
3.372294,1.0221841,1
5.5090036,-0.55323464,0
8.967681,-3.2669368,3
11.582727,-1.6208769,3
7.9824944,-2.8188007,2
3.8130279,0.14180808,1
8.69612,-3.1773257,3
-3.1328895,4.8879547,4
12.621177,-1.8158274,3
1.4332902,2.7347527,1
7.289763,-0.3379123,2
1.1985282,0.17420697,1
9.411056,-3.4968946,3
11.361892,-2.0731692,3
1.448079,2.0034246,1
7.6634717,0.26745248,0
2.246391,1.9689817,1
6.237522,-0.97495747,2
2.375995,-0.38168234,1
11.093755,-4.721965,3
3.336589,-1.159204,0
1.8151739,2.3343053,1
12.113629,-2.2583754,3
9.503524,-3.1165042,3
6.6451774,-0.35878015,2
0.64497286,3.5943122,4
7.4244957,-4.026654,2
