umap_1,umap_2,subcluster
15.167323,-10.565281,0
14.252664,-12.094512,1
14.25647,-7.4003797,2
15.165638,-9.166366,0
8.878114,-14.625567,3
10.600988,-14.9903,3
16.497179,-10.077404,0
12.90306,-4.77555,2
15.264258,-10.8288145,0
13.885699,-13.00218,1
15.071682,-8.660615,0
15.747236,-9.893398,0
11.703377,-13.283888,1
5.249772,-14.738291,3
15.896749,-8.521684,0
11.971697,-15.863535,3
14.1956835,-7.5514336,2
14.314553,-9.808343,0
13.9705715,-4.6267447,2
12.894034,-9.621199,0
12.084854,-15.450546,3
13.923435,-13.251703,1
8.439913,-15.478611,3
14.7582445,-9.634742,0
11.374451,-15.978771,3
14.670119,-6.559055,2
12.004373,-7.9264708,2
15.809168,-9.6030655,0
15.265695,-10.891008,0
13.439447,-12.898005,1
12.785238,-6.3027225,2
14.793457,-13.524534,1
13.345107,-13.278526,1
13.114327,-6.1911116,2
15.997655,-9.217359,0
14.204775,-11.09454,0
10.097803,-16.40757,3
11.558582,-12.738528,1
14.891836,-10.7959795,0
15.783402,-12.070949,1
12.267624,-13.737034,1
13.246407,-14.185792,1
11.215795,-11.315708,1
13.435795,-8.859683,0
14.528879,-12.027939,1
15.726266,-12.864437,1
14.421968,-8.1942215,2
15.874824,-10.532227,0
13.146096,-10.207756,0
5.6472297,-15.124735,3
11.54261,-12.781151,1
14.577076,-7.700133,2
12.748729,-7.825025,2
10.581639,-13.99019,3
12.161428,-9.705803,0
14.142921,-6.8130546,2
13.570575,-8.48316,2
13.939111,-4.7902045,2
16.594162,-7.9657116,0
7.9955044,-16.186575,3
12.33554,-5.2917123,2
14.779812,-8.532737,0
11.371504,-11.047871,1
8.574042,-16.30911,3
12.831512,-15.148663,1
9.900135,-15.999657,3
12.066801,-5.725057,2
13.802828,-12.807428,1
15.683274,-12.458546,0
8.328263,-16.435528,3
12.1943445,-11.943874,1
13.154516,-11.948649,1
9.867061,-16.070587,3
13.469371,-13.484775,1
14.610605,-11.381763,0
15.280544,-12.006016,0
14.848302,-13.34943,1
14.805288,-5.7294974,2
10.586696,-12.398273,3
14.354467,-12.342651,1
12.159981,-14.379297,1
5.8482265,-15.696813,3
14.941395,-9.663141,0
16.95704,-11.621868,0
10.916071,-16.17753,3
14.252576,-10.399935,0
13.32759,-6.3217974,2
14.24452,-6.4913645,2
13.714327,-7.865983,2
13.587384,-7.270313,2
13.410533,-9.095042,0
14.897553,-8.844889,0
13.484511,-13.765209,1
14.591117,-12.001725,0
15.914358,-7.0987115,2
12.848288,-15.303343,1
14.461373,-6.8260455,2
13.112132,-10.778366,0
14.696738,-11.010332,0
13.849452,-12.151777,1
13.20343,-5.296499,2
15.813793,-12.945226,1
14.486694,-9.993692,0
12.414876,-6.498268,2
15.327813,-12.898134,1
12.093745,-4.0959897,2
12.5101185,-15.644376,3
12.486384,-14.671371,1
14.642018,-12.262673,1
10.977182,-13.136925,1
15.948161,-10.219949,0
14.665105,-11.324681,0
12.390556,-11.491727,1
14.417818,-12.297193,1
8.741627,-15.375941,3
15.203323,-10.825629,0
15.060312,-10.997981,0
14.943956,-9.195341,0
15.527751,-10.796929,0
5.195541,-14.6239195,3
15.259993,-6.6826806,2
8.962792,-14.429022,3
11.246503,-13.08271,1
13.628383,-13.480759,1
16.678635,-11.354236,0
11.439471,-13.428107,1
15.045261,-12.390723,1
14.924204,-13.175319,1
13.696902,-14.10654,1
14.600271,-14.190168,1
12.0954685,-12.114866,1
11.944608,-15.336374,3
12.734325,-6.904912,2
7.028253,-16.415897,3
15.570087,-12.26724,0
13.35837,-12.510381,1
9.048877,-15.420781,3
12.844307,-12.27811,1
13.327707,-10.886395,0
9.6966305,-13.278803,3
10.978546,-16.250656,3
14.087876,-5.997248,2
13.864125,-12.325969,1
15.841434,-12.849773,1
12.297513,-15.638413,3
6.0842743,-15.843619,3
13.390285,-14.250501,1
13.774834,-10.032924,0
15.4045315,-9.337218,0
15.248393,-9.393907,0
9.852375,-14.046694,3
5.105599,-14.642387,3
12.819568,-5.963221,2
10.684551,-15.066652,3
13.841934,-8.255339,2
14.770749,-7.644255,2
9.286118,-15.81921,3
8.590191,-16.770058,3
14.65476,-9.048831,0
14.150556,-6.4620266,2
15.294458,-8.371444,0
14.03025,-4.8859267,2
15.882621,-9.9063425,0
12.494577,-8.0103,2
11.225687,-13.709004,3
12.7242775,-4.9938307,2
8.78897,-16.258389,3
14.415733,-8.153899,0
13.69028,-6.2558274,2
12.343727,-14.438312,1
13.094052,-11.324494,1
14.240359,-8.523491,0
13.530625,-12.493263,1
13.946594,-6.202581,2
16.039616,-11.1066885,0
14.440966,-5.616085,2
6.510743,-16.133118,3
13.86469,-6.3853846,2
11.393797,-14.086527,1
15.712205,-9.709811,0
11.0104065,-15.76688,3
14.834433,-7.296705,2
14.805567,-10.480207,0
14.652473,-5.8405666,2
10.1091585,-13.544561,3
13.785478,-9.2262535,0
12.025092,-9.117486,0
7.9900146,-15.30068,3
10.623068,-13.59231,3
15.382707,-7.094607,2
15.631718,-12.05786,0
14.25696,-10.13819,0
13.582494,-9.28103,0
15.315318,-7.072662,2
16.121801,-12.58832,0
12.526445,-8.584339,0
15.828214,-12.543819,1
14.968271,-9.178552,0
7.606018,-14.995055,3
13.071285,-6.090652,2
14.981076,-6.0689435,2
15.7785845,-8.339175,0
11.970441,-4.7185974,2
16.832394,-8.983259,0
13.745201,-10.511877,0
7.561662,-16.2432,3
13.159203,-5.1860886,2
14.477141,-12.607983,1
12.804299,-12.025882,1
12.002148,-4.1342516,2
11.935039,-13.694394,1
13.644666,-8.122511,2
13.967822,-6.4971695,2
14.988588,-12.765064,1
12.254017,-6.5487685,2
11.781893,-14.813148,1
10.29908,-15.560174,3
14.233291,-10.804641,0
11.426975,-13.409945,1
13.997058,-8.104128,0
13.020763,-4.525831,2
16.232536,-8.303571,0
14.646322,-7.7150364,2
13.85691,-13.120768,1
15.181609,-10.588359,0
12.398859,-10.516306,0
11.945807,-4.452796,2
14.014371,-4.868952,2
10.462357,-15.740663,3
12.811732,-5.0617905,2
12.249253,-15.109013,1
12.708384,-14.798039,1
10.486339,-14.616059,3
15.586859,-8.775317,0
11.528727,-9.375048,0
14.155119,-5.913216,2
16.237137,-7.066342,2
11.726272,-13.855075,1
12.065683,-10.364041,0
13.604335,-6.7596445,2
14.638575,-6.322,2
14.249504,-9.449178,0
13.721761,-9.854908,0
10.451055,-14.734437,3
13.592916,-14.121992,1
12.53977,-15.727114,3
16.397543,-9.121675,0
16.407427,-9.922733,0
14.006107,-8.880704,0
13.060226,-6.0603766,2
12.961125,-8.3038645,2
10.6111965,-14.317168,3
14.0785475,-7.5391736,2
15.97358,-8.027029,0
13.62808,-4.5920067,2
11.775696,-13.131863,1
16.631744,-8.376488,0
12.941039,-7.0332975,2
7.43793,-15.884704,3
16.51606,-11.720716,0
8.236706,-15.658681,3
12.865659,-4.740258,2
16.3127,-9.5655985,0
12.543565,-13.933175,1
8.072913,-15.207266,3
12.820192,-6.7511864,2
14.1458845,-14.602618,1
15.889589,-7.2322326,2
7.9567194,-16.585875,3
8.128212,-15.879463,3
7.284761,-15.056403,3
16.107237,-8.329322,0
13.124251,-4.9462605,2
16.657053,-9.367198,0
11.907133,-10.593692,1
14.325881,-10.421161,0
13.648327,-12.935985,1
11.722147,-14.485789,3
12.601629,-5.6851974,2
14.531336,-7.619587,2
10.437469,-13.967238,3
14.07339,-5.2275777,2
15.385335,-10.893138,0
13.374479,-10.72643,0
15.4386835,-12.361469,0
13.978703,-9.176358,0
12.933532,-14.860916,1
8.273931,-16.187963,3
11.585361,-10.527979,1
12.814144,-5.7654233,2
15.629302,-7.8198323,2
14.242196,-13.965488,1
16.522755,-8.657892,0
15.810012,-9.430418,0
12.200381,-4.602381,2
13.912412,-12.262557,1
13.250881,-9.479508,0
15.501417,-9.655431,0
14.722653,-5.6303735,2
12.204516,-9.269435,0
14.266404,-8.442976,0
14.320793,-10.529963,0
15.307795,-12.454368,1
15.830083,-10.250491,0
15.851689,-10.28728,0
11.83091,-13.731503,1
14.505027,-10.126686,0
15.615998,-11.2286825,0
8.365906,-15.19638,3
14.712476,-6.138363,2
14.700371,-10.030926,0
14.584866,-11.113139,0
10.307186,-15.891949,3
16.840128,-10.202232,0
14.173588,-6.327904,2
12.368091,-13.177495,1
12.842398,-13.198768,1
7.096401,-15.15249,3
11.88889,-13.910578,1
5.517467,-15.323342,3
12.985272,-4.826567,2
7.709863,-16.058966,3
14.1665325,-10.087659,0
7.26827,-15.606235,3
13.363698,-7.879579,2
11.3456335,-13.552616,3
11.206382,-13.773715,3
13.966604,-13.244313,1
13.443677,-7.4725103,2
13.335085,-15.119859,1
15.492814,-12.591592,1
14.232769,-10.538705,0
13.46618,-13.46329,1
14.749364,-7.058804,2
14.977237,-6.612161,2
14.704972,-8.575573,0
15.181928,-11.776255,1
12.795406,-10.413801,0
