profile_mask_sample,raw_sample,masked_target_type,spot_id,masked_support,masked_support_norm,baseline_target_like_score,route2_target_like_score,rank,baseline_low_score_hit_weight,baseline_running_es,route2_low_score_hit_weight,route2_running_es
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1524_125494,0.0,0.0,0.07923930269413629,0.07923930269413629,570,0.0,0.024197832836851858,0.0,0.037224356359204853
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1528_117011,0.0,0.0,0.11536281179138322,0.11536281179138322,571,0.0,0.02376397453497325,0.0,0.036790498057326246
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1531_124628,0.0,0.0,0.07061855670103093,0.07061855670103093,572,0.1805031446540881,0.024113244111328355,0.2156126482213439,0.037292093129656256
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1536_124397,0.0,0.0,0.09258632362897765,0.09258632362897765,573,0.0,0.023679385809449748,0.0,0.03685823482777765
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1538_124585,0.0,0.0,0.07061855670103093,0.07061855670103093,574,0.1805031446540881,0.024028655385804853,0.2156126482213439,0.03735982990010766
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1541_124576,0.0,0.0,0.07923930269413629,0.07923930269413629,575,0.0,0.023594797083926245,0.0,0.03692597159822905
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1542_111104,0.0,0.0,0.11536281179138322,0.07061855670103093,576,0.0,0.023160938782047637,0.2156126482213439,0.03742756667055906
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1543_111194,0.0,0.0,0.09258632362897765,0.06357649442755825,577,0.0,0.02272708048016903,1.0,0.04133229138746652
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1545_111142,0.0,0.0,0.11536281179138322,0.11536281179138322,578,0.0,0.022293222178290422,0.0,0.04089843308558791
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1549_124622,0.0,0.0,0.07061855670103093,0.07061855670103093,579,0.1805031446540881,0.022642491754645527,0.2156126482213439,0.04140002815791792
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1558_117092,0.0,0.0,0.11536281179138322,0.11536281179138322,580,0.0,0.02220863345276692,0.0,0.04096616985603931
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1560_124345,0.0,0.0,0.07923930269413629,0.07923930269413629,581,0.0,0.021774775150888312,0.0,0.040532311554160705
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1561_111487,0.0,0.0,0.11536281179138322,0.07923930269413629,582,0.0,0.021340916849009704,0.0,0.0400984532522821
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1563_111820,0.0,0.0,0.07061855670103093,0.07061855670103093,583,0.1805031446540881,0.02169018642536481,0.2156126482213439,0.04060004832461211
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1564_117054,0.0,0.0,0.11536281179138322,0.11536281179138322,584,0.0,0.021256328123486202,0.0,0.0401661900227335
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1565_125274,0.0,0.0,0.07923930269413629,0.06357649442755825,585,0.0,0.020822469821607594,1.0,0.044070914739640955
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1566_124423,0.0,0.0,0.09258632362897765,0.09258632362897765,586,0.0,0.020388611519728986,0.0,0.04363705643776235
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1568_124772,0.0,0.0,0.09258632362897765,0.07061855670103093,587,0.0,0.01995475321785038,0.2156126482213439,0.04413865151009236
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1569_117013,0.0,0.0,0.6375313283208021,0.11536281179138322,588,0.0,0.01952089491597177,0.0,0.04370479320821375
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1570_111095,0.0,0.0,0.07061855670103093,0.07061855670103093,589,0.1805031446540881,0.019870164492326876,0.2156126482213439,0.04420638828054376
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1571_125294,0.0,0.0,0.07061855670103093,0.07061855670103093,590,0.1805031446540881,0.02021943406868198,0.2156126482213439,0.04470798335287377
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1572_111896,0.0,0.0,0.06357649442755825,0.06357649442755825,591,1.0,0.02412415878558944,1.0,0.04861270806978123
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1576_116993,0.0,0.0,0.11536281179138322,0.11536281179138322,592,0.0,0.023690300483710833,0.0,0.04817884976790262
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1578_111083,0.0,0.0,0.07923930269413629,0.07923930269413629,593,0.0,0.023256442181832225,0.0,0.04774499146602401
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1581_125277,0.0,0.0,0.09258632362897765,0.09258632362897765,594,0.0,0.022822583879953617,0.0,0.047311133164145404
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1591_111163,0.0,0.0,0.07923930269413629,0.07923930269413629,595,0.0,0.02238872557807501,0.0,0.046877274862266796
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1599_124729,0.0,0.0,0.07923930269413629,0.11536281179138322,596,0.0,0.021954867276196402,0.0,0.04644341656038819
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1600_111433,0.0,0.0,0.11536281179138322,0.11536281179138322,597,0.0,0.021521008974317794,0.0,0.04600955825850958
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1602_124443,0.0,0.0,0.5572916666666666,0.09258632362897765,598,0.0,0.021087150672439187,0.0,0.04557569995663097
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1606_125328,0.0,0.0,0.07923930269413629,0.07923930269413629,599,0.0,0.02065329237056058,0.0,0.045141841654752365
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1611_111501,0.0,0.0,0.07923930269413629,0.07923930269413629,600,0.0,0.02021943406868197,0.0,0.04470798335287376
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1612_116374,0.0,0.0,0.07061855670103093,0.07061855670103093,601,0.1805031446540881,0.020568703645037077,0.2156126482213439,0.04520957842520377
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1620_111320,0.0,0.0,0.07061855670103093,0.07061855670103093,602,0.1805031446540881,0.020917973221392182,0.2156126482213439,0.04571117349753378
highres_humanmelanomapatient2_profile_mask_b_cells,HumanMelanomaPatient2,B cells,spot_1627_117029,0.0,0.0,0.07923930269413629,0.11536281179138322,603,0.0,0.020484114919513574,0.0,0.04527731519565517
