cell_type,truth_mass,recovered_mass,composition_recovery,group,sample,method
Erythrocyte,54.02424252135606,10.358333341722869,0.1917349111859952,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE
Macrophage_alveolar,645.3900131704945,635.145839146132,0.9841271575089335,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE
Mast_cell,422.37648166628355,196.78068261243067,0.4658892981828131,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE
B_cell,381.52038990592,144.32081302690452,0.37827811263899397,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)"
Ciliated,1262.812602960417,95.15777139503136,0.07535383410963162,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)"
DC,172.23564902137892,62.14788643141671,0.3608305643142584,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)"
Endothelia_vascular,326.64062075415006,283.4123007561833,0.8676578562146957,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)"
Erythrocyte,54.02424252135606,41.325929930009764,0.7649515847200156,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)"
Macrophage_alveolar,645.3900131704945,454.08031241106687,0.7035750525180674,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)"
Mast_cell,422.3764816662835,127.0054357148016,0.3006924893492239,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)"
B_cell,381.52038990592,161.29597516724522,0.4227715724630591,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)"
Ciliated,1262.812602960417,116.75842124505574,0.09245902438044923,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)"
DC,172.23564902137892,61.864749213487386,0.3591866699199326,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)"
Endothelia_vascular,326.64062075415006,284.98502803421115,0.8724727113738512,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)"
Erythrocyte,54.02424252135606,36.06451055877601,0.6675616144829707,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)"
Macrophage_alveolar,645.3900131704945,423.2744658224465,0.6558429123238213,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)"
Mast_cell,422.3764816662835,143.977107032002,0.3408738726739934,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)"
B_cell,381.52038990592,115.75413747693094,0.30340223101961866,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc
Ciliated,1262.812602960417,120.1286094346863,0.09512781956172141,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc
DC,172.23564902137892,67.93071452515565,0.3944056582428164,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc
Endothelia_vascular,326.64062075415006,317.4931518531538,0.9719953112999953,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc
Erythrocyte,54.02424252135606,32.81107261767229,0.6073397994372971,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc
Macrophage_alveolar,645.3900131704945,493.30780292458525,0.7643561146866813,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc
Mast_cell,422.3764816662835,103.25986084132498,0.24447350959021868,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc
B_cell,381.52038990592,50.646684496297084,0.132749614008274,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc
Ciliated,1262.812602960417,103.66076605280848,0.08208721215625826,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc
DC,172.23564902137892,21.73408759318984,0.12618809007705528,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc
Endothelia_vascular,326.64062075415006,218.11007502076743,0.6677371433999648,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc
Erythrocyte,54.02424252135606,11.916882707471634,0.22058398510188884,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc
Macrophage_alveolar,645.3900131704945,374.4619376313184,0.580210306930169,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc
Mast_cell,422.3764816662835,46.835116673025155,0.11088476443636185,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc
B_cell,381.52038990592,215.7144752144656,0.5654074616238968,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek
Ciliated,1262.812602960417,331.4551855773076,0.2624737706927186,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek
DC,172.23564902137892,72.12952194866907,0.4187839297990854,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek
Endothelia_vascular,326.64062075415006,326.6406183549458,0.9999999926549115,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek
Erythrocyte,54.02424252135606,4.496464652828322,0.08323049880895315,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek
Macrophage_alveolar,645.3900131704945,337.62206521243206,0.523128741261203,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek
Mast_cell,422.3764816662835,257.21170982879016,0.608963143056841,human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek
Astro_CTX,210.0992666401564,158.710123897035,0.755405415902107,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE
Ext_L56,2822.2273335574205,1374.3724311075991,0.4869814755054481,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE
Ext_Thal_1,943.840952651629,908.6295103598007,0.9626934578406403,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE
Inh_Pvalb,946.3162678504509,819.0091358215983,0.8654708406122726,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE
Micro,1306.8342520915799,1222.2569421268845,0.9352807673740339,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE
Nb_1,84.89403888538527,76.66490517226013,0.9030658239239245,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE
Oligo_2,2154.787888323379,1384.15427255426,0.6423621926106415,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE
Astro_CTX,210.0992666401564,158.710123897035,0.755405415902107,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE
Ext_L56,2822.2273335574205,1374.3724311075991,0.4869814755054481,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE
Ext_Thal_1,943.840952651629,908.6295103598007,0.9626934578406403,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE
Inh_Pvalb,946.3162678504509,819.0091358215983,0.8654708406122726,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE
Micro,1306.8342520915799,1222.2569421268845,0.9352807673740339,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE
Nb_1,84.89403888538527,76.66490517226013,0.9030658239239245,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE
Oligo_2,2154.787888323379,1384.15427255426,0.6423621926106415,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE
Astro_CTX,210.0992666401564,191.1234063094716,0.9096814537521192,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)"
Ext_L56,2822.22733355742,1441.6884326869497,0.5108335588507323,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)"
Ext_Thal_1,943.840952651629,866.9467160413951,0.9185305147077937,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)"
Inh_Pvalb,946.3162678504508,869.8060958698262,0.9191494698126486,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)"
Micro,1306.8342520915799,1063.0089507266248,0.813422933340847,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)"
Nb_1,84.89403888538529,54.91744045148366,0.6468939535981698,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)"
Oligo_2,2154.7878883233784,1363.4709016575375,0.6327633958990007,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)"
Astro_CTX,210.0992666401564,193.43770659853206,0.9206967244195045,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)"
Ext_L56,2822.22733355742,1339.2855879963186,0.4745491520373548,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)"
Ext_Thal_1,943.840952651629,856.8685469970698,0.9078526891525328,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)"
Inh_Pvalb,946.3162678504508,892.2047098680364,0.9428187384907497,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)"
Micro,1306.8342520915799,1195.298527872428,0.9146519736220261,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)"
Nb_1,84.89403888538529,59.1272402016265,0.6964828270387003,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)"
Oligo_2,2154.7878883233784,1549.4373862209147,0.7190672430531055,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)"
Astro_CTX,210.0992666401564,147.07715972133843,0.700036521180448,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc
Ext_L56,2822.22733355742,1385.6346253848437,0.4909720095575186,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc
Ext_Thal_1,943.840952651629,928.7351596245691,0.9839954041148334,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc
Inh_Pvalb,946.3162678504508,853.6321560855615,0.9020579959219972,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc
Micro,1306.8342520915799,1248.3967506197007,0.9552831574636567,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc
Nb_1,84.89403888538529,74.99251528690706,0.8833660910886078,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc
Oligo_2,2154.7878883233784,1385.6347424771918,0.6430492532401145,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc
Astro_CTX,210.0992666401564,172.1995697490582,0.8196105226963492,mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SpaOTsc
