file_path,file_type,file_size_mb,detected_role,read_success,n_rows,n_cols,candidate_reference,notes
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_oligodendrocyte/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.515,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_oligodendrocyte/stage1_preprocess/exported/st_expression_normalized.csv,csv,40.377,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/sc_expression_normalized.csv,csv,32.268,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_oligodendrocyte_opc/stage1_preprocess/exported/st_expression_normalized.csv,csv,40.344,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,34.073,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059049_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,40.33,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_astrocyte/stage1_preprocess/exported/sc_expression_normalized.csv,csv,29.13,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_astrocyte/stage1_preprocess/exported/st_expression_normalized.csv,csv,40.966,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_microglia/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.666,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_microglia/stage1_preprocess/exported/st_expression_normalized.csv,csv,39.92,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_oligodendrocyte/stage1_preprocess/exported/sc_expression_normalized.csv,csv,33.532,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_oligodendrocyte/stage1_preprocess/exported/st_expression_normalized.csv,csv,41.122,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_thalamic_excitatory/stage1_preprocess/exported/sc_expression_normalized.csv,csv,34.173,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059050_sc_missing_thalamic_excitatory/stage1_preprocess/exported/st_expression_normalized.csv,csv,41.001,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_astrocyte/stage1_preprocess/exported/sc_expression_normalized.csv,csv,29.039,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
data/processed/cell2location_mouse_brain/cell2loc_scan_st8059051_sc_missing_astrocyte/stage1_preprocess/exported/st_expression_normalized.csv,csv,28.646,scRNA_expression,True,,1501.0,True,header read only for Phase 3 inventory
